[1755, 1241]
[folio, [504.0, 183.0, 504.0, 36.0], GWjUTgFNeQ, 5760734]
[paragraph, [183.0, 257.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [183.0, 293.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [183.0, 329.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [183.0, 365.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [183.0, 401.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [183.0, 437.0, 825.0, 36.0], shoonya_0sIDFG37MNSGC3, 5760734]
[paragraph, [175.0, 491.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 527.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 563.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 599.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 635.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 671.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 707.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [175.0, 743.0, 837.0, 36.0], PaRzerrHL6, 5760734]
[paragraph, [178.0, 811.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 847.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 883.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 919.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 955.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 991.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1027.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1063.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1099.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1135.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1171.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1207.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [178.0, 1243.0, 840.0, 36.0], Sf9cF26v13, 5760734]
[paragraph, [184.0, 1294.0, 826.0, 36.0], cq-hRDajf-, 5760734]
[paragraph, [184.0, 1330.0, 826.0, 36.0], cq-hRDajf-, 5760734]
[paragraph, [184.0, 1366.0, 826.0, 36.0], cq-hRDajf-, 5760734]
[paragraph, [187.0, 1438.0, 825.0, 36.0], nXn6OoedhY, 5760734]
[paragraph, [187.0, 1474.0, 825.0, 36.0], nXn6OoedhY, 5760734]
[paragraph, [187.0, 1510.0, 825.0, 36.0], nXn6OoedhY, 5760734]
