[2339, 1653]
[unordered-list, [239.0, 245.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 281.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 317.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 353.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 389.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 425.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 461.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 497.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 533.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 569.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 605.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 641.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 677.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 713.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 749.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 785.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 821.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 857.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 893.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 929.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 965.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1001.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1037.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1073.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1109.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1145.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1181.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1217.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[unordered-list, [239.0, 1253.0, 1175.0, 36.0], shoonya_2sV0AM6FTVZH05, 5687302]
[section-title, [253.0, 1377.0, 554.0, 52.5], shoonya_3s5T1D7HYB6K5S, 5687302]
[paragraph, [244.0, 1439.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1475.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1511.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1547.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1583.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1619.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1655.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1691.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1727.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1763.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1799.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1835.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1871.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1907.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1943.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[paragraph, [244.0, 1979.0, 1160.0, 36.0], shoonya_4sNTV393NR5WGS, 5687302]
[unordered-list, [245.0, 2039.0, 1159.0, 36.0], shoonya_5sENHH7MZHQ79A, 5687302]
[unordered-list, [245.0, 2075.0, 1159.0, 36.0], shoonya_5sENHH7MZHQ79A, 5687302]
[unordered-list, [245.0, 2111.0, 1159.0, 36.0], shoonya_5sENHH7MZHQ79A, 5687302]
