[1754, 1241]
[paragraph, [379.0, 111.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 147.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 183.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 219.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 255.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 291.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 327.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 363.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 399.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 435.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 471.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[paragraph, [379.0, 507.0, 615.0, 36.0], shoonya_0sHEKCEFOL6X61, 5714613]
[reference, [911.0, 495.0, 90.0, 36.0], TvOCe1s16m, 5714613]
[paragraph, [176.0, 573.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 609.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 645.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 681.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 717.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 753.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 789.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 825.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [176.0, 861.0, 968.0, 36.0], shoonya_1sHLYMCNV3EDTK, 5714613]
[paragraph, [394.0, 917.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 953.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 989.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1025.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1061.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1097.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1133.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1169.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1205.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1241.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1277.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [394.0, 1313.0, 620.0, 36.0], shoonya_2sJ3RSG4V4UX4W, 5714613]
[paragraph, [183.0, 1374.0, 957.0, 36.0], shoonya_3sWPSOGUD9VPHN, 5714613]
[paragraph, [183.0, 1410.0, 957.0, 36.0], shoonya_3sWPSOGUD9VPHN, 5714613]
[footnote, [200.0, 1512.0, 309.0, 36.0], shoonya_4sQRTRJZHDQNPS, 5714613]
