[1238, 765]
[folio, [327.0, 84.0, 130.0, 18.0], Kc7TwQiQb1, 5770638]
[folio, [327.0, 102.0, 130.0, 18.0], Kc7TwQiQb1, 5770638]
[paragraph, [391.0, 142.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 160.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 178.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 196.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 214.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 232.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 250.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 268.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 286.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 304.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 322.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 340.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 358.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [391.0, 376.0, 306.0, 18.0], sP1r9Ekyxt, 5770638]
[paragraph, [76.0, 144.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 162.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 180.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 198.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 216.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 234.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
[paragraph, [76.0, 252.0, 307.0, 18.0], xxAB2d9ggY, 5770638]
