[1265, 854]
[section-title, [218.0, 291.0, 335.0, 30.0], shoonya_0sCKWWPUO79K4K, 5750908]
[section-title, [218.0, 321.0, 335.0, 30.0], shoonya_0sCKWWPUO79K4K, 5750908]
[paragraph, [180.0, 417.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 435.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 453.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 471.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 489.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 507.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 525.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 543.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 561.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 579.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 597.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 615.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 633.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 651.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 669.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 687.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 705.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 723.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 741.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 759.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 777.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 795.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 813.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 831.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 849.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 867.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 885.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 903.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 921.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 939.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 957.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 975.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 993.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 1011.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
[paragraph, [180.0, 1029.0, 474.0, 18.0], 4QyntXVkAj, 5750908]
