[668, 446]
[paragraph, [57.0, 83.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 101.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 119.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 137.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 155.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 173.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 191.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [57.0, 209.0, 346.0, 18.0], h6IgazbAqi, 6494051]
[paragraph, [58.0, 240.0, 344.0, 18.0], shoonya_0sR090JOW9925H, 6494051]
[paragraph, [58.0, 258.0, 344.0, 18.0], shoonya_0sR090JOW9925H, 6494051]
[paragraph, [58.0, 276.0, 344.0, 18.0], shoonya_0sR090JOW9925H, 6494051]
[paragraph, [56.0, 312.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 330.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 348.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 366.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 384.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 402.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 420.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 438.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 456.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 474.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 492.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 510.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 528.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 546.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 564.0, 351.0, 18.0], Pva4ui180h, 6494051]
[paragraph, [56.0, 582.0, 351.0, 18.0], Pva4ui180h, 6494051]
