[720, 504]
[paragraph, [46.0, 100.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 118.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 136.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 154.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 172.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 190.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 208.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [46.0, 226.0, 199.0, 18.0], shoonya_3s523GRJKQ3OQ2, 5651386]
[paragraph, [252.0, 104.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 122.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 140.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 158.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 176.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 194.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 212.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 230.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 248.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 266.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 284.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 302.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 320.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 338.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [252.0, 356.0, 205.0, 18.0], shoonya_0s9NJPRV723S93, 5651386]
[paragraph, [44.0, 256.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 274.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 292.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 310.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 328.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 346.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 364.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 382.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 400.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 418.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 436.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 454.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 472.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 490.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 508.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [44.0, 526.0, 203.0, 18.0], shoonya_2sJNWE3XFS3ISL, 5651386]
[paragraph, [259.0, 392.0, 197.0, 18.0], shoonya_4s0X127VFU8YNL, 5651386]
[paragraph, [259.0, 410.0, 197.0, 18.0], shoonya_4s0X127VFU8YNL, 5651386]
[paragraph, [260.0, 448.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 466.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 484.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 502.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 520.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 538.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 556.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 574.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 592.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [260.0, 610.0, 189.0, 18.0], shoonya_1sIVEWXQM74OTZ, 5651386]
[paragraph, [48.0, 559.0, 196.0, 18.0], shoonya_5sG5XIADIV3FHA, 5651386]
