[792, 612]
[flag, [26.0, 56.0, 162.0, 18.0], shoonya_12sRGT5KQORHHE, 6515234]
[flag, [26.0, 74.0, 162.0, 18.0], shoonya_12sRGT5KQORHHE, 6515234]
[headline, [223.0, 91.0, 137.0, 25.5], shoonya_7sB0RDRU55INMJ, 6515234]
[headline, [223.0, 116.5, 137.0, 25.5], shoonya_7sB0RDRU55INMJ, 6515234]
[headline, [223.0, 142.0, 137.0, 25.5], shoonya_7sB0RDRU55INMJ, 6515234]
[index, [39.0, 121.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 139.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 157.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 175.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 193.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 211.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 229.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 247.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 265.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 283.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 301.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 319.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 337.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 355.0, 115.0, 18.0], -gibyh2qih, 6515234]
[index, [39.0, 373.0, 115.0, 18.0], -gibyh2qih, 6515234]
[author, [225.0, 179.0, 83.0, 18.0], Datye3Hr7_, 6515234]
[paragraph, [223.0, 214.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 232.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 250.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 268.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 286.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 304.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 322.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 340.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 358.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 376.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 394.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [223.0, 412.0, 162.0, 18.0], shoonya_0sY2F28IRGPWGS, 6515234]
[paragraph, [393.0, 315.0, 162.0, 18.0], DgEm-a_6_J, 6515234]
[paragraph, [393.0, 333.0, 162.0, 18.0], DgEm-a_6_J, 6515234]
[paragraph, [393.0, 351.0, 162.0, 18.0], DgEm-a_6_J, 6515234]
[paragraph, [393.0, 387.0, 161.0, 18.0], GjFWAs-MIQ, 6515234]
