[1948, 1214]
[folio, [159.0, 149.0, 159.0, 36.0], wSUXOlHAy7, 5731804]
[paragraph, [156.0, 303.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 339.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 375.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 411.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 447.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 483.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 519.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 555.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[paragraph, [156.0, 591.0, 923.0, 36.0], shoonya_2s3JPY6TV5G9NJ, 5731804]
[section-title, [206.0, 684.0, 100.0, 49.5], aZX2fsSvl3, 5731804]
[paragraph, [162.0, 754.0, 915.0, 36.0], shoonya_0sDO4N9BUL3DAD, 5731804]
[paragraph, [162.0, 790.0, 915.0, 36.0], shoonya_0sDO4N9BUL3DAD, 5731804]
[paragraph, [162.0, 826.0, 915.0, 36.0], shoonya_0sDO4N9BUL3DAD, 5731804]
[paragraph, [162.0, 862.0, 915.0, 36.0], shoonya_0sDO4N9BUL3DAD, 5731804]
[paragraph, [172.0, 1024.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1060.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1096.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1132.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1168.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1204.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1240.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1276.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1312.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [172.0, 1348.0, 848.0, 36.0], shoonya_1sBYLF900BRMEO, 5731804]
[paragraph, [177.0, 1516.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[paragraph, [177.0, 1552.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[paragraph, [177.0, 1588.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[paragraph, [177.0, 1624.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[paragraph, [177.0, 1660.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[paragraph, [177.0, 1696.0, 849.0, 36.0], shoonya_3sO70OZBF7C2NQ, 5731804]
[footnote, [201.0, 1742.0, 567.0, 36.0], ojjK4K_XUR, 5731804]
[folio, [511.0, 1844.0, 191.0, 36.0], _JXgMSz8l9, 5731804]
