[2067, 1567]
[paragraph, [451.0, 555.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 591.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 627.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 663.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 699.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 735.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 771.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 807.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [451.0, 843.0, 921.0, 36.0], shoonya_4sU4I69PXGVT5K, 5735662]
[paragraph, [192.0, 910.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 946.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 982.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1018.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1054.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1090.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1126.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1162.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [192.0, 1198.0, 1178.0, 36.0], shoonya_0sHQWX6XFHND2H, 5735662]
[paragraph, [193.0, 1267.0, 1176.0, 36.0], shoonya_2s2TJM8XQ2LDA4, 5735662]
[paragraph, [193.0, 1303.0, 1176.0, 36.0], shoonya_2s2TJM8XQ2LDA4, 5735662]
[paragraph, [193.0, 1339.0, 1176.0, 36.0], shoonya_2s2TJM8XQ2LDA4, 5735662]
[paragraph, [193.0, 1375.0, 1176.0, 36.0], shoonya_2s2TJM8XQ2LDA4, 5735662]
[paragraph, [191.0, 1445.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1481.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1517.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1553.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1589.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1625.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1661.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1697.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[paragraph, [191.0, 1733.0, 1182.0, 36.0], shoonya_1s6QLEQK5VSYC9, 5735662]
[folio, [191.0, 1824.0, 236.0, 36.0], QDllByDFQM, 5735662]
