[1320, 1176]
[folio, [104.0, 65.0, 143.0, 18.0], shoonya_0sTH99P7RXEYEA, 5694201]
[folio, [104.0, 83.0, 143.0, 18.0], shoonya_0sTH99P7RXEYEA, 5694201]
[folio, [104.0, 101.0, 143.0, 18.0], shoonya_0sTH99P7RXEYEA, 5694201]
[folio, [104.0, 119.0, 143.0, 18.0], shoonya_0sTH99P7RXEYEA, 5694201]
[folio, [104.0, 137.0, 143.0, 18.0], shoonya_0sTH99P7RXEYEA, 5694201]
[section-title, [94.0, 196.0, 654.0, 30.0], fMuSOWYteH, 5694201]
[section-title, [94.0, 226.0, 654.0, 30.0], fMuSOWYteH, 5694201]
[section-title, [94.0, 256.0, 654.0, 30.0], fMuSOWYteH, 5694201]
[section-title, [94.0, 286.0, 654.0, 30.0], fMuSOWYteH, 5694201]
[section-title, [94.0, 316.0, 654.0, 30.0], fMuSOWYteH, 5694201]
[paragraph, [772.0, 199.0, 311.0, 18.0], muFkO9fhcH, 5694201]
[paragraph, [772.0, 217.0, 311.0, 18.0], muFkO9fhcH, 5694201]
[paragraph, [772.0, 235.0, 311.0, 18.0], muFkO9fhcH, 5694201]
[paragraph, [772.0, 253.0, 311.0, 18.0], muFkO9fhcH, 5694201]
[paragraph, [772.0, 271.0, 311.0, 18.0], muFkO9fhcH, 5694201]
[paragraph, [772.0, 340.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 358.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 376.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 394.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 412.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 430.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[paragraph, [772.0, 448.0, 317.0, 18.0], oQDLIkBeJC, 5694201]
[author, [400.0, 371.0, 73.0, 18.0], bmo8pzbnGB, 5694201]
[sub-section-title, [101.0, 391.0, 131.0, 25.5], c8ODm0BWym, 5694201]
[paragraph, [434.0, 405.0, 314.0, 18.0], uO9X84IOvd, 5694201]
[paragraph, [434.0, 423.0, 314.0, 18.0], uO9X84IOvd, 5694201]
[paragraph, [99.0, 431.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 449.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 467.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 485.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 503.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 521.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 539.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 557.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 575.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 593.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 611.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 629.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 647.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 665.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 683.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 701.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [99.0, 719.0, 318.0, 18.0], C7ref7Ra6M, 5694201]
[paragraph, [437.0, 488.0, 315.0, 18.0], u_FLd8pz5A, 5694201]
[paragraph, [437.0, 506.0, 315.0, 18.0], u_FLd8pz5A, 5694201]
[paragraph, [773.0, 496.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 514.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 532.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 550.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 568.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 586.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [773.0, 604.0, 312.0, 18.0], _bTHi1RGhR, 5694201]
[paragraph, [438.0, 569.0, 312.0, 18.0], 8dI0SG4XK2, 5694201]
