[1818, 1374]
[folio, [635.0, 193.0, 104.0, 36.0], shoonya_14s312N4EG4Z3U, 5683081]
[paragraph, [109.0, 254.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 290.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 326.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 362.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 398.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 434.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 470.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 506.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [109.0, 542.0, 564.0, 36.0], shoonya_10s037PN8WCL6B, 5683081]
[paragraph, [697.0, 259.0, 566.0, 36.0], shoonya_7sH409HDNBR6Y0, 5683081]
[paragraph, [697.0, 295.0, 566.0, 36.0], shoonya_7sH409HDNBR6Y0, 5683081]
[paragraph, [697.0, 331.0, 566.0, 36.0], shoonya_7sH409HDNBR6Y0, 5683081]
[paragraph, [697.0, 367.0, 566.0, 36.0], shoonya_7sH409HDNBR6Y0, 5683081]
[paragraph, [697.0, 403.0, 566.0, 36.0], shoonya_7sH409HDNBR6Y0, 5683081]
[paragraph, [697.0, 464.0, 564.0, 36.0], shoonya_4s5PBD2NG22DUX, 5683081]
[paragraph, [697.0, 500.0, 564.0, 36.0], shoonya_4s5PBD2NG22DUX, 5683081]
[paragraph, [697.0, 536.0, 564.0, 36.0], shoonya_4s5PBD2NG22DUX, 5683081]
[paragraph, [699.0, 584.0, 561.0, 36.0], shoonya_6sSNR36FTV4S5F, 5683081]
[paragraph, [699.0, 620.0, 561.0, 36.0], shoonya_6sSNR36FTV4S5F, 5683081]
[paragraph, [115.0, 594.0, 556.0, 36.0], shoonya_13sY6390IJSG3P, 5683081]
[paragraph, [115.0, 630.0, 556.0, 36.0], shoonya_13sY6390IJSG3P, 5683081]
[paragraph, [115.0, 666.0, 556.0, 36.0], shoonya_13sY6390IJSG3P, 5683081]
[paragraph, [115.0, 702.0, 556.0, 36.0], shoonya_13sY6390IJSG3P, 5683081]
[paragraph, [695.0, 666.0, 564.0, 36.0], shoonya_8s4CUXWCYVQXGY, 5683081]
[paragraph, [695.0, 702.0, 564.0, 36.0], shoonya_8s4CUXWCYVQXGY, 5683081]
[paragraph, [695.0, 738.0, 564.0, 36.0], shoonya_8s4CUXWCYVQXGY, 5683081]
[paragraph, [695.0, 774.0, 564.0, 36.0], shoonya_8s4CUXWCYVQXGY, 5683081]
[paragraph, [109.0, 760.0, 561.0, 36.0], shoonya_3sFR5GJ6Q5VWXZ, 5683081]
[paragraph, [109.0, 796.0, 561.0, 36.0], shoonya_3sFR5GJ6Q5VWXZ, 5683081]
[paragraph, [753.0, 829.0, 126.0, 36.0], shoonya_9sT0E7NENLWRVT, 5683081]
[paragraph, [111.0, 844.0, 561.0, 36.0], 24mkfShUVz, 5683081]
[paragraph, [111.0, 880.0, 561.0, 36.0], 24mkfShUVz, 5683081]
[paragraph, [695.0, 869.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 905.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 941.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 977.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 1013.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 1049.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [695.0, 1085.0, 565.0, 36.0], shoonya_0sVK6V959PLVCB, 5683081]
[paragraph, [111.0, 926.0, 563.0, 36.0], SnqwQG5VhC, 5683081]
[paragraph, [111.0, 962.0, 563.0, 36.0], SnqwQG5VhC, 5683081]
[paragraph, [112.0, 1007.0, 560.0, 36.0], shoonya_1s3Z9TLEK8I088, 5683081]
[paragraph, [112.0, 1043.0, 560.0, 36.0], shoonya_1s3Z9TLEK8I088, 5683081]
[paragraph, [112.0, 1079.0, 560.0, 36.0], shoonya_1s3Z9TLEK8I088, 5683081]
[paragraph, [112.0, 1115.0, 560.0, 36.0], shoonya_1s3Z9TLEK8I088, 5683081]
