[2200, 1700]
[paragraph, [319.0, 86.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 122.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 158.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 194.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 230.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 266.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 302.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 338.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 374.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 410.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 446.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 482.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 518.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 554.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 590.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [319.0, 626.0, 1058.0, 36.0], shoonya_1s5JB1AY4G2AU5, 5731055]
[paragraph, [323.0, 690.0, 1056.0, 36.0], shoonya_2sBR52TLIX94O0, 5731055]
[paragraph, [323.0, 726.0, 1056.0, 36.0], shoonya_2sBR52TLIX94O0, 5731055]
[paragraph, [323.0, 762.0, 1056.0, 36.0], shoonya_2sBR52TLIX94O0, 5731055]
[paragraph, [323.0, 798.0, 1056.0, 36.0], shoonya_2sBR52TLIX94O0, 5731055]
[paragraph, [323.0, 834.0, 1056.0, 36.0], shoonya_2sBR52TLIX94O0, 5731055]
[paragraph, [323.0, 907.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 943.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 979.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 1015.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 1051.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 1087.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [323.0, 1123.0, 1056.0, 36.0], shoonya_6sMFSS27NM90HX, 5731055]
[paragraph, [325.0, 1182.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1218.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1254.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1290.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1326.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1362.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1398.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1434.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1470.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1506.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1542.0, 1051.0, 36.0], shoonya_4sNQUHZJ1KCWA3, 5731055]
[paragraph, [325.0, 1607.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [325.0, 1643.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [325.0, 1679.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [325.0, 1715.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [325.0, 1751.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [325.0, 1787.0, 1059.0, 36.0], shoonya_0sE76UMT4HLPK8, 5731055]
[paragraph, [330.0, 1829.0, 1052.0, 36.0], shoonya_7s776XN4HHBG26, 5731055]
[paragraph, [330.0, 1865.0, 1052.0, 36.0], shoonya_7s776XN4HHBG26, 5731055]
[paragraph, [330.0, 1901.0, 1052.0, 36.0], shoonya_7s776XN4HHBG26, 5731055]
[folio, [700.0, 2021.0, 611.0, 36.0], YFCfBN4INo, 5731055]
