[1008, 612]
[paragraph, [60.0, 66.0, 488.0, 18.0], E2J1PEIGHM, 5717690]
[paragraph, [60.0, 84.0, 488.0, 18.0], E2J1PEIGHM, 5717690]
[sub-ordered-list, [63.0, 107.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 125.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 143.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 161.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 179.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 197.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 215.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 233.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 251.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 269.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 287.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 305.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 323.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[sub-ordered-list, [63.0, 341.0, 503.0, 18.0], mP0usR4ElY, 5717690]
[ordered-list, [61.0, 108.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 126.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 144.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 162.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 180.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 198.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 216.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 234.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 252.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 270.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 288.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 306.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 324.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 342.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 360.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 378.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 396.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 414.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 432.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 450.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 468.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 486.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 504.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 522.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 540.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 558.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 576.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 594.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 612.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 630.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 648.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 666.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 684.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 702.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 720.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 738.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 756.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[ordered-list, [61.0, 774.0, 510.0, 18.0], 4Gm_yJkcZR, 5717690]
[subsub-ordered-list, [94.0, 253.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[subsub-ordered-list, [94.0, 271.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[subsub-ordered-list, [94.0, 289.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[subsub-ordered-list, [94.0, 307.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[subsub-ordered-list, [94.0, 325.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[subsub-ordered-list, [94.0, 343.0, 456.0, 18.0], HlRoCHFH5i, 5717690]
[sub-ordered-list, [62.0, 472.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 490.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 508.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 526.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 544.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 562.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 580.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 598.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 616.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 634.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 652.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 670.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 688.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 706.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 724.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 742.0, 507.0, 18.0], NYG4MTSus7, 5717690]
[sub-ordered-list, [62.0, 760.0, 507.0, 18.0], NYG4MTSus7, 5717690]
