[1300, 827]
[paragraph, [62.0, 75.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 93.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 111.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 129.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 147.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 165.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 183.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [62.0, 201.0, 703.0, 18.0], shoonya_6sW1H1N8PJI1XY, 6471607]
[paragraph, [64.0, 229.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 247.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 265.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 283.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 301.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 319.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 337.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 355.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 373.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 391.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 409.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 427.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [64.0, 445.0, 702.0, 18.0], shoonya_1s6QD97PSJMCQX, 6471607]
[paragraph, [63.0, 478.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 496.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 514.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 532.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 550.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 568.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 586.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 604.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 622.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [63.0, 640.0, 701.0, 18.0], shoonya_7sZW3AUQOG7J35, 6471607]
[paragraph, [60.0, 662.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
[paragraph, [60.0, 680.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
[paragraph, [60.0, 698.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
[paragraph, [60.0, 716.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
[paragraph, [60.0, 734.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
[paragraph, [60.0, 752.0, 703.0, 18.0], shoonya_4sC2B564R0F8Z4, 6471607]
