[2339, 1653]
[paragraph, [389.0, 195.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [389.0, 231.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [389.0, 267.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [389.0, 303.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [389.0, 339.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [389.0, 375.0, 1076.0, 36.0], shoonya_1sLQRBXS36CWPE, 5733955]
[paragraph, [391.0, 430.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 466.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 502.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 538.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 574.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 610.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 646.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 682.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [391.0, 718.0, 1074.0, 36.0], shoonya_3sB1ZNODFIY3Z0, 5733955]
[paragraph, [393.0, 779.0, 1073.0, 36.0], shoonya_5s3NPYD0IIZRQW, 5733955]
[paragraph, [393.0, 815.0, 1073.0, 36.0], shoonya_5s3NPYD0IIZRQW, 5733955]
[paragraph, [393.0, 851.0, 1073.0, 36.0], shoonya_5s3NPYD0IIZRQW, 5733955]
[paragraph, [387.0, 899.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 935.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 971.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1007.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1043.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1079.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1115.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1151.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1187.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1223.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1259.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [387.0, 1295.0, 1074.0, 36.0], shoonya_0sE4T958EWJIV9, 5733955]
[paragraph, [388.0, 1364.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[paragraph, [388.0, 1400.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[paragraph, [388.0, 1436.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[paragraph, [388.0, 1472.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[paragraph, [388.0, 1508.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[paragraph, [388.0, 1544.0, 1075.0, 36.0], shoonya_2s8AJK3NQVI36I, 5733955]
[folio, [1116.0, 2183.0, 288.0, 36.0], J3C1IIaDbi, 5733955]
