[1200, 825]
[paragraph, [141.0, 105.0, 537.0, 18.0], shoonya_3sH4F7RICSTM10, 5691002]
[paragraph, [141.0, 123.0, 537.0, 18.0], shoonya_3sH4F7RICSTM10, 5691002]
[paragraph, [141.0, 141.0, 537.0, 18.0], shoonya_3sH4F7RICSTM10, 5691002]
[paragraph, [139.0, 171.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 189.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 207.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 225.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 243.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 261.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 279.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 297.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 315.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 333.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 351.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 369.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 387.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 405.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [139.0, 423.0, 541.0, 18.0], shoonya_1sWZML410JZDC1, 5691002]
[paragraph, [136.0, 447.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 465.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 483.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 501.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 519.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 537.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 555.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 573.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 591.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 609.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 627.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 645.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 663.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 681.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [136.0, 699.0, 544.0, 18.0], shoonya_0sV9E1XU6LE6RV, 5691002]
[paragraph, [138.0, 724.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 742.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 760.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 778.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 796.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 814.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 832.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 850.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 868.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 886.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 904.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 922.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 940.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 958.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 976.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 994.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 1012.0, 542.0, 18.0], XfXHromCGB, 5691002]
[paragraph, [138.0, 1030.0, 542.0, 18.0], XfXHromCGB, 5691002]
