[1437, 878]
[headline, [63.0, 65.0, 204.0, 25.5], V1I6WbkuXM, 5770633]
[headline, [63.0, 90.5, 204.0, 25.5], V1I6WbkuXM, 5770633]
[sub-headline, [103.0, 125.0, 654.0, 25.5], EuZb5LH9W5, 5770633]
[sub-headline, [103.0, 150.5, 654.0, 25.5], EuZb5LH9W5, 5770633]
[sub-headline, [103.0, 176.0, 654.0, 25.5], EuZb5LH9W5, 5770633]
[author, [312.0, 204.0, 262.0, 18.0], PbWVaXwxKl, 5770633]
[author, [312.0, 222.0, 262.0, 18.0], PbWVaXwxKl, 5770633]
[author, [312.0, 240.0, 262.0, 18.0], PbWVaXwxKl, 5770633]
[paragraph, [74.0, 290.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 308.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 326.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 344.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 362.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 380.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 398.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 416.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 434.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 452.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 470.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 488.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 506.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 524.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 542.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 560.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
[paragraph, [74.0, 578.0, 362.0, 18.0], shoonya_0sAA3DCR7K4GCW, 5770633]
