[1787, 1218]
[paragraph, [106.0, 97.0, 425.0, 36.0], shoonya_2sSQZHDNZFE9I2, 5651324]
[paragraph, [92.0, 146.0, 1048.0, 36.0], shoonya_0s91L1LPBCVBCC, 5651324]
[paragraph, [92.0, 182.0, 1048.0, 36.0], shoonya_0s91L1LPBCVBCC, 5651324]
[paragraph, [92.0, 218.0, 1048.0, 36.0], shoonya_0s91L1LPBCVBCC, 5651324]
[paragraph, [92.0, 254.0, 1048.0, 36.0], shoonya_0s91L1LPBCVBCC, 5651324]
[paragraph, [92.0, 290.0, 1048.0, 36.0], shoonya_0s91L1LPBCVBCC, 5651324]
[paragraph, [54.0, 334.0, 1079.0, 36.0], klE1n5ipXj, 5651324]
[paragraph, [54.0, 370.0, 1079.0, 36.0], klE1n5ipXj, 5651324]
[paragraph, [54.0, 406.0, 1079.0, 36.0], klE1n5ipXj, 5651324]
[paragraph, [88.0, 456.0, 1040.0, 36.0], CGAp3i7Zxl, 5651324]
[paragraph, [88.0, 492.0, 1040.0, 36.0], CGAp3i7Zxl, 5651324]
[paragraph, [88.0, 528.0, 1040.0, 36.0], CGAp3i7Zxl, 5651324]
[paragraph, [88.0, 564.0, 1040.0, 36.0], CGAp3i7Zxl, 5651324]
[paragraph, [41.0, 615.0, 1157.0, 36.0], Rb9zjRB9Kh, 5651324]
[paragraph, [41.0, 651.0, 1157.0, 36.0], Rb9zjRB9Kh, 5651324]
[paragraph, [41.0, 687.0, 1157.0, 36.0], Rb9zjRB9Kh, 5651324]
[paragraph, [41.0, 723.0, 1157.0, 36.0], Rb9zjRB9Kh, 5651324]
[paragraph, [41.0, 759.0, 1157.0, 36.0], Rb9zjRB9Kh, 5651324]
[paragraph, [65.0, 806.0, 1067.0, 36.0], 6XTD6UI68l, 5651324]
[paragraph, [65.0, 842.0, 1067.0, 36.0], 6XTD6UI68l, 5651324]
[paragraph, [65.0, 878.0, 1067.0, 36.0], 6XTD6UI68l, 5651324]
[paragraph, [12.0, 917.0, 1122.0, 36.0], 5JRWviSOH8, 5651324]
[paragraph, [12.0, 953.0, 1122.0, 36.0], 5JRWviSOH8, 5651324]
[paragraph, [12.0, 989.0, 1122.0, 36.0], 5JRWviSOH8, 5651324]
[paragraph, [12.0, 1025.0, 1122.0, 36.0], 5JRWviSOH8, 5651324]
[paragraph, [51.0, 1075.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1111.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1147.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1183.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1219.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1255.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1291.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [51.0, 1327.0, 1114.0, 36.0], stIhd9OVun, 5651324]
[paragraph, [80.0, 1383.0, 1055.0, 36.0], 5bqYgrX8VY, 5651324]
[paragraph, [80.0, 1419.0, 1055.0, 36.0], 5bqYgrX8VY, 5651324]
[paragraph, [80.0, 1469.0, 1040.0, 36.0], n-3VyQ1Iqu, 5651324]
[paragraph, [80.0, 1505.0, 1040.0, 36.0], n-3VyQ1Iqu, 5651324]
[paragraph, [80.0, 1541.0, 1040.0, 36.0], n-3VyQ1Iqu, 5651324]
[paragraph, [80.0, 1577.0, 1040.0, 36.0], n-3VyQ1Iqu, 5651324]
[footnote, [458.0, 1627.0, 223.0, 36.0], DLIL_-hH5b, 5651324]
