[1606, 1056]
[folio, [104.0, 97.0, 228.0, 36.0], 0_gemSNs5z, 5683973]
[folio, [448.0, 103.0, 168.0, 36.0], shoonya_1s117KQM61G6SE, 5683973]
[paragraph, [102.0, 154.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 190.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 226.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 262.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 298.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 334.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 370.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 406.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 442.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 478.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 514.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 550.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 586.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 622.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 658.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 694.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 730.0, 852.0, 36.0], shoonya_2sTW8SKT51EIBP, 5683973]
[paragraph, [102.0, 790.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 826.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 862.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 898.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 934.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 970.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 1006.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 1042.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 1078.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 1114.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [102.0, 1150.0, 854.0, 36.0], shoonya_0sA7KI5RZNF1ND, 5683973]
[paragraph, [104.0, 1189.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1225.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1261.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1297.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1333.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1369.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1405.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1441.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
[paragraph, [104.0, 1477.0, 850.0, 36.0], 5Jt3gx0bQP, 5683973]
