[2339, 1653]
[folio, [294.0, 220.0, 202.0, 36.0], shoonya_5sFIUAHU7KJMGU, 5655202]
[section-title, [294.0, 321.0, 568.0, 52.5], shoonya_3sAM5HDJWUY8UI, 5655202]
[paragraph, [285.0, 397.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 433.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 469.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 505.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 541.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 577.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 613.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 649.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 685.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 721.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 757.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 793.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 829.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 865.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 901.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 937.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 973.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1009.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1045.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1081.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1117.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1153.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1189.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1225.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1261.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1297.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1333.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1369.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1405.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1441.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [285.0, 1477.0, 1082.0, 36.0], shoonya_0s5C81QL1H3T8T, 5655202]
[paragraph, [286.0, 1556.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1592.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1628.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1664.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1700.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1736.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1772.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1808.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [286.0, 1844.0, 1078.0, 36.0], shoonya_2sEYQ7A1PIIEST, 5655202]
[paragraph, [287.0, 1913.0, 1079.0, 36.0], shoonya_6sMKHUX63XMVG5, 5655202]
[paragraph, [287.0, 1949.0, 1079.0, 36.0], shoonya_6sMKHUX63XMVG5, 5655202]
[paragraph, [287.0, 1985.0, 1079.0, 36.0], shoonya_6sMKHUX63XMVG5, 5655202]
[paragraph, [287.0, 2021.0, 1079.0, 36.0], shoonya_6sMKHUX63XMVG5, 5655202]
