[1225, 1650]
[paragraph, [555.0, 3.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 21.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 39.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 57.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 75.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 93.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 111.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 129.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 147.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 165.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 183.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 201.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 219.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 237.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[paragraph, [555.0, 255.0, 499.0, 18.0], shoonya_3sDNPFXRPJ4MBO, 5726216]
[section-title, [1151.0, 10.0, 459.0, 30.0], fw058UvMcb, 5726216]
[paragraph, [1128.0, 70.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 88.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 106.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 124.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 142.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 160.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 178.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 196.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 214.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 232.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 250.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 268.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 286.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 304.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 322.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 340.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 358.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 376.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 394.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 412.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 430.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 448.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 466.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 484.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 502.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 520.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 538.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 556.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
[paragraph, [1128.0, 574.0, 502.0, 18.0], shoonya_4sTAHHOHHPGEY2, 5726216]
