[1388, 886]
[folio, [370.0, 68.0, 135.0, 18.0], shoonya_6s9PGC6HI3U6MO, 5742142]
[folio, [643.0, 68.0, 193.0, 18.0], shoonya_5sHKSJU6LEMPAU, 5742142]
[paragraph, [29.0, 127.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [29.0, 145.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [29.0, 163.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [29.0, 181.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [29.0, 199.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [29.0, 217.0, 391.0, 18.0], shoonya_4sFP6YRGEFCBNY, 5742142]
[paragraph, [445.0, 132.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 150.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 168.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 186.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 204.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 222.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 240.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 258.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 276.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 294.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 312.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 330.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 348.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 366.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 384.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 402.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 420.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 438.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 456.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 474.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 492.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 510.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 528.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 546.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 564.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 582.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
[paragraph, [445.0, 600.0, 398.0, 18.0], shoonya_1sKQ66MQIWPG4K, 5742142]
