[1359, 917]
[paragraph, [92.0, 29.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 47.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 65.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 83.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 101.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 119.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 137.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [92.0, 155.0, 783.0, 18.0], shoonya_3sW0EIV0M1YCGL, 5660914]
[paragraph, [96.0, 190.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 208.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 226.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 244.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 262.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 280.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 298.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 316.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 334.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 352.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 370.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 388.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 406.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 424.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 442.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 460.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 478.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 496.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 514.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [96.0, 532.0, 776.0, 18.0], shoonya_0s4DACVZ8XJRRU, 5660914]
[paragraph, [92.0, 558.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [92.0, 576.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [92.0, 594.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [92.0, 612.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [92.0, 630.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [92.0, 648.0, 779.0, 18.0], shoonya_6s41241D07E4QD, 5660914]
[paragraph, [76.0, 664.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 682.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 700.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 718.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 736.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 754.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 772.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 790.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 808.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 826.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [76.0, 844.0, 417.0, 18.0], shoonya_4s4WYY191CPW3F, 5660914]
[paragraph, [77.0, 885.0, 411.0, 18.0], shoonya_5sX58BV2VF31YT, 5660914]
[paragraph, [77.0, 903.0, 411.0, 18.0], shoonya_5sX58BV2VF31YT, 5660914]
[paragraph, [77.0, 921.0, 411.0, 18.0], shoonya_5sX58BV2VF31YT, 5660914]
