[792, 612]
[folio, [210.0, 20.0, 228.0, 18.0], ZpMZq67g3N, 5743696]
[paragraph, [110.0, 60.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 78.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 96.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 114.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 132.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 150.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 168.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 186.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 204.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 222.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 240.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 258.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 276.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 294.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 312.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 330.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 348.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 366.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 384.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 402.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 420.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 438.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 456.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 474.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 492.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 510.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 528.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 546.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 564.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 582.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 600.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 618.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 636.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 654.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 672.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 690.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
[paragraph, [110.0, 708.0, 422.0, 18.0], shoonya_1sGQ1U18V3OQYC, 5743696]
