[851, 612]
[paragraph, [148.0, 190.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 208.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 226.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 244.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 262.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 280.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 298.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 316.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 334.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 352.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 370.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 388.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 406.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 424.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 442.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 460.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 478.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 496.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 514.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 532.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 550.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 568.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 586.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 604.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 622.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 640.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
[paragraph, [148.0, 658.0, 357.0, 18.0], shoonya_0sS2BVM0QBVACK, 6460525]
