[792, 612]
[headline, [413.0, 47.0, 112.0, 25.5], shoonya_7sJ5P9PJBHVK7F, 5654380]
[headline, [413.0, 72.5, 112.0, 25.5], shoonya_7sJ5P9PJBHVK7F, 5654380]
[headline, [413.0, 98.0, 112.0, 25.5], shoonya_7sJ5P9PJBHVK7F, 5654380]
[paragraph, [49.0, 53.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 71.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 89.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 107.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 125.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 143.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[paragraph, [49.0, 161.0, 331.0, 18.0], shoonya_0sBAT3GUYL5Y83, 5654380]
[author, [413.0, 192.0, 75.0, 18.0], shoonya_6s5THL5B0KPW24, 5654380]
[paragraph, [49.0, 193.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 211.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 229.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 247.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 265.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 283.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 301.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 319.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 337.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 355.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 373.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 391.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 409.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 427.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 445.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 463.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [49.0, 481.0, 332.0, 18.0], shoonya_4s3VBPURZGE7AS, 5654380]
[paragraph, [45.0, 518.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 536.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 554.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 572.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 590.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 608.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 626.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 644.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 662.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 680.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
[paragraph, [45.0, 698.0, 258.0, 18.0], shoonya_1s43YS0DVPSNUU, 5654380]
