[2339, 1609]
[folio, [823.0, 96.0, 566.0, 36.0], zNJznfEqNh, 5657176]
[folio, [823.0, 132.0, 566.0, 36.0], zNJznfEqNh, 5657176]
[folio, [218.0, 104.0, 391.0, 36.0], sDBnKanvrw, 5657176]
[folio, [218.0, 140.0, 391.0, 36.0], sDBnKanvrw, 5657176]
[chapter-title, [212.0, 215.0, 1171.0, 70.5], wVA8GemnqV, 5657176]
[author, [316.0, 336.0, 968.0, 36.0], shoonya_5sQ4VUJAJ7BQG4, 5657176]
[contact-info, [377.0, 397.0, 861.0, 36.0], tuvog6tgfC, 5657176]
[contact-info, [377.0, 433.0, 861.0, 36.0], tuvog6tgfC, 5657176]
[contact-info, [377.0, 469.0, 861.0, 36.0], tuvog6tgfC, 5657176]
[contact-info, [377.0, 505.0, 861.0, 36.0], tuvog6tgfC, 5657176]
[contact-info, [377.0, 541.0, 861.0, 36.0], tuvog6tgfC, 5657176]
[paragraph, [137.0, 726.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 762.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 798.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 834.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 870.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 906.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 942.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 978.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1014.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1050.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1086.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1122.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1158.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1194.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1230.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1266.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1302.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1338.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1374.0, 1329.0, 36.0], shoonya_0sP077CAL7OBGO, 5657176]
[paragraph, [137.0, 1440.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1476.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1512.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1548.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1584.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1620.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1656.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [137.0, 1692.0, 1333.0, 36.0], shoonya_2s6BLVETFSPLX7, 5657176]
[paragraph, [135.0, 1769.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1805.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1841.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1877.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1913.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1949.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 1985.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[paragraph, [135.0, 2021.0, 1335.0, 36.0], shoonya_1s0ABQBIHTXZP2, 5657176]
[footnote, [126.0, 2140.0, 580.0, 36.0], tSiqNwAqd4, 5657176]
[footnote, [126.0, 2176.0, 580.0, 36.0], tSiqNwAqd4, 5657176]
[footnote, [893.0, 2146.0, 570.0, 36.0], ZU_ZuUIImX, 5657176]
[footnote, [893.0, 2182.0, 570.0, 36.0], ZU_ZuUIImX, 5657176]
