[2175, 1462]
[folio, [127.0, 126.0, 201.0, 36.0], wAZGen4CFw, 5655147]
[paragraph, [201.0, 242.0, 1124.0, 36.0], shoonya_6sXC1T98Q4QR4X, 5655147]
[paragraph, [201.0, 278.0, 1124.0, 36.0], shoonya_6sXC1T98Q4QR4X, 5655147]
[paragraph, [144.0, 343.0, 1189.0, 36.0], -jqECWI7D3, 5655147]
[paragraph, [144.0, 379.0, 1189.0, 36.0], -jqECWI7D3, 5655147]
[paragraph, [144.0, 415.0, 1189.0, 36.0], -jqECWI7D3, 5655147]
[paragraph, [144.0, 451.0, 1189.0, 36.0], -jqECWI7D3, 5655147]
[paragraph, [148.0, 517.0, 1180.0, 36.0], NFFAggAICX, 5655147]
[paragraph, [148.0, 553.0, 1180.0, 36.0], NFFAggAICX, 5655147]
[paragraph, [148.0, 589.0, 1180.0, 36.0], NFFAggAICX, 5655147]
[paragraph, [148.0, 625.0, 1180.0, 36.0], NFFAggAICX, 5655147]
[paragraph, [144.0, 689.0, 1184.0, 36.0], X1PMsbGSMn, 5655147]
[paragraph, [144.0, 725.0, 1184.0, 36.0], X1PMsbGSMn, 5655147]
[paragraph, [144.0, 761.0, 1184.0, 36.0], X1PMsbGSMn, 5655147]
[paragraph, [144.0, 856.0, 1184.0, 36.0], shoonya_4s88T513KWKQL4, 5655147]
[paragraph, [144.0, 892.0, 1184.0, 36.0], shoonya_4s88T513KWKQL4, 5655147]
[paragraph, [144.0, 928.0, 1184.0, 36.0], shoonya_4s88T513KWKQL4, 5655147]
[paragraph, [139.0, 1025.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1061.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1097.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1133.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1169.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1205.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1241.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [139.0, 1277.0, 1188.0, 36.0], shoonya_1sYEGLRTRYQ7AN, 5655147]
[paragraph, [218.0, 1333.0, 602.0, 36.0], shoonya_3s0DTH3P6T57JU, 5655147]
[paragraph, [218.0, 1369.0, 602.0, 36.0], shoonya_3s0DTH3P6T57JU, 5655147]
[paragraph, [218.0, 1405.0, 602.0, 36.0], shoonya_3s0DTH3P6T57JU, 5655147]
[paragraph, [138.0, 1474.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1510.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1546.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1582.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1618.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1654.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1690.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1726.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1762.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1798.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1834.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[paragraph, [138.0, 1870.0, 1187.0, 36.0], shoonya_0sWCROHG7ARFJH, 5655147]
[reference, [149.0, 1971.0, 923.0, 36.0], shoonya_5sTQ9DRRXGNKUR, 5655147]
[reference, [149.0, 2007.0, 923.0, 36.0], shoonya_5sTQ9DRRXGNKUR, 5655147]
