[595, 454]
[chapter-title, [263.0, 152.0, 162.0, 30.0], PKsCWQNXpG, 6460876]
[paragraph, [32.0, 196.0, 201.0, 18.0], Ol7RDaRiek, 6460876]
[paragraph, [32.0, 214.0, 201.0, 18.0], Ol7RDaRiek, 6460876]
[paragraph, [32.0, 232.0, 201.0, 18.0], Ol7RDaRiek, 6460876]
[paragraph, [32.0, 250.0, 201.0, 18.0], Ol7RDaRiek, 6460876]
[paragraph, [236.0, 200.0, 201.0, 18.0], NsNH4SXL3P, 6460876]
[paragraph, [236.0, 218.0, 201.0, 18.0], NsNH4SXL3P, 6460876]
[paragraph, [234.0, 238.0, 202.0, 18.0], uGbBy_H1ad, 6460876]
[paragraph, [234.0, 256.0, 202.0, 18.0], uGbBy_H1ad, 6460876]
[paragraph, [234.0, 274.0, 202.0, 18.0], uGbBy_H1ad, 6460876]
[paragraph, [234.0, 292.0, 202.0, 18.0], uGbBy_H1ad, 6460876]
[paragraph, [234.0, 310.0, 202.0, 18.0], uGbBy_H1ad, 6460876]
[paragraph, [32.0, 274.0, 197.0, 18.0], KGFQ6PvYX7, 6460876]
[paragraph, [32.0, 292.0, 197.0, 18.0], KGFQ6PvYX7, 6460876]
[paragraph, [32.0, 310.0, 197.0, 18.0], KGFQ6PvYX7, 6460876]
[paragraph, [30.0, 333.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 351.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 369.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 387.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 405.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 423.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [30.0, 441.0, 201.0, 18.0], n8ROmlX0hE, 6460876]
[paragraph, [234.0, 335.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [234.0, 353.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [234.0, 371.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [234.0, 389.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [234.0, 407.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [234.0, 425.0, 202.0, 18.0], 81Fwwfd0hD, 6460876]
[paragraph, [231.0, 454.0, 205.0, 18.0], yijYm48i5r, 6460876]
[paragraph, [231.0, 472.0, 205.0, 18.0], yijYm48i5r, 6460876]
[paragraph, [231.0, 490.0, 205.0, 18.0], yijYm48i5r, 6460876]
[paragraph, [231.0, 508.0, 205.0, 18.0], yijYm48i5r, 6460876]
[paragraph, [28.0, 472.0, 201.0, 18.0], g-Px8CPU5s, 6460876]
[paragraph, [28.0, 490.0, 201.0, 18.0], g-Px8CPU5s, 6460876]
[paragraph, [28.0, 508.0, 201.0, 18.0], g-Px8CPU5s, 6460876]
[footnote, [187.0, 538.0, 83.0, 18.0], OyklMa_WMe, 6460876]
[folio, [395.0, 566.0, 49.0, 18.0], bd04MSjLnj, 6460876]
