[1755, 1240]
[paragraph, [176.0, 187.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [176.0, 223.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [176.0, 259.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [176.0, 295.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [176.0, 331.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [176.0, 367.0, 884.0, 36.0], shoonya_3sMMPEGC6EVLK6, 5704263]
[paragraph, [177.0, 439.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 475.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 511.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 547.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 583.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 619.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 655.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 691.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 727.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 763.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 799.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [177.0, 835.0, 885.0, 36.0], shoonya_1sG3LTVIY1ABNT, 5704263]
[paragraph, [178.0, 920.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 956.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 992.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 1028.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 1064.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 1100.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [178.0, 1136.0, 886.0, 36.0], shoonya_0s3EV9NOAN7W11, 5704263]
[paragraph, [177.0, 1227.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1263.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1299.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1335.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1371.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1407.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1443.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1479.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
[paragraph, [177.0, 1515.0, 887.0, 36.0], shoonya_2s5XC77ZTSLYYU, 5704263]
