[1818, 1374]
[folio, [479.0, 105.0, 421.0, 36.0], shoonya_3sYQFPB3YDKEHC, 5683263]
[paragraph, [108.0, 178.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 214.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 250.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 286.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 322.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 358.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 394.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 430.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 466.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 502.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 538.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 574.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 610.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 646.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [108.0, 682.0, 570.0, 36.0], shoonya_1sXE1X1PIB5AMM, 5683263]
[paragraph, [700.0, 179.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 215.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 251.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 287.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 323.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 359.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 395.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 431.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 467.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 503.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 539.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 575.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 611.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 647.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 683.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 719.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 755.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 791.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 827.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 863.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 899.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 935.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [700.0, 971.0, 566.0, 36.0], bsfCHGl6LF, 5683263]
[paragraph, [111.0, 735.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 771.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 807.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 843.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 879.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 915.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 951.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 987.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 1023.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 1059.0, 568.0, 36.0], ApLw04kRco, 5683263]
[paragraph, [111.0, 1095.0, 568.0, 36.0], ApLw04kRco, 5683263]
