[792, 517]
[folio, [15.0, 14.0, 105.0, 18.0], shoonya_0sH60HZ60JU2JH, 6461435]
[paragraph, [15.0, 38.0, 478.0, 18.0], nzru8VRHkx, 6461435]
[paragraph, [15.0, 56.0, 478.0, 18.0], nzru8VRHkx, 6461435]
[paragraph, [25.0, 82.0, 472.0, 18.0], xA9XLVCdNE, 6461435]
[paragraph, [25.0, 100.0, 472.0, 18.0], xA9XLVCdNE, 6461435]
[paragraph, [19.0, 132.0, 475.0, 18.0], i6vdWUH7JU, 6461435]
[paragraph, [19.0, 150.0, 475.0, 18.0], i6vdWUH7JU, 6461435]
[paragraph, [19.0, 168.0, 475.0, 18.0], i6vdWUH7JU, 6461435]
[paragraph, [19.0, 186.0, 475.0, 18.0], i6vdWUH7JU, 6461435]
[paragraph, [19.0, 204.0, 475.0, 18.0], i6vdWUH7JU, 6461435]
[paragraph, [25.0, 234.0, 377.0, 18.0], npOoq5ibvW, 6461435]
[paragraph, [25.0, 252.0, 377.0, 18.0], npOoq5ibvW, 6461435]
[paragraph, [25.0, 270.0, 377.0, 18.0], npOoq5ibvW, 6461435]
[paragraph, [19.0, 295.0, 89.0, 18.0], 5egRyW105z, 6461435]
[paragraph, [16.0, 313.0, 489.0, 18.0], awsrMAqiLa, 6461435]
[paragraph, [16.0, 331.0, 489.0, 18.0], awsrMAqiLa, 6461435]
[paragraph, [16.0, 349.0, 489.0, 18.0], awsrMAqiLa, 6461435]
[paragraph, [16.0, 367.0, 489.0, 18.0], awsrMAqiLa, 6461435]
[paragraph, [81.0, 388.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [81.0, 406.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [81.0, 424.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [81.0, 442.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [81.0, 460.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [81.0, 478.0, 333.0, 18.0], BU_9zg6Kav, 6461435]
[paragraph, [14.0, 498.0, 185.0, 18.0], uhD8pLIWnb, 6461435]
[paragraph, [10.0, 526.0, 494.0, 18.0], IurpUTE7GY, 6461435]
[paragraph, [10.0, 544.0, 494.0, 18.0], IurpUTE7GY, 6461435]
[paragraph, [10.0, 565.0, 501.0, 18.0], jYRGIxbBQ3, 6461435]
[paragraph, [10.0, 583.0, 501.0, 18.0], jYRGIxbBQ3, 6461435]
[paragraph, [10.0, 601.0, 501.0, 18.0], jYRGIxbBQ3, 6461435]
[section-title, [12.0, 638.0, 129.0, 30.0], Y5V1IVp_l3, 6461435]
[paragraph, [8.0, 671.0, 507.0, 18.0], z8QcgUr_e6, 6461435]
[paragraph, [8.0, 689.0, 507.0, 18.0], z8QcgUr_e6, 6461435]
[paragraph, [8.0, 707.0, 507.0, 18.0], z8QcgUr_e6, 6461435]
[paragraph, [8.0, 725.0, 507.0, 18.0], z8QcgUr_e6, 6461435]
