[1601, 1128]
[paragraph, [742.0, 164.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [742.0, 200.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [742.0, 236.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [742.0, 272.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [742.0, 308.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [742.0, 344.0, 287.0, 36.0], shoonya_4sQGXIAA5MQEMK, 6472424]
[paragraph, [418.0, 206.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 242.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 278.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 314.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 350.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 386.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 422.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [418.0, 458.0, 296.0, 36.0], shoonya_5sXDJ2NAG9ELOE, 6472424]
[paragraph, [104.0, 248.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 284.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 320.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 356.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 392.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 428.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 464.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[paragraph, [104.0, 500.0, 299.0, 36.0], shoonya_11s9NZK5YGBF5W, 6472424]
[author, [880.0, 381.0, 148.0, 36.0], shoonya_7sTXFCK9KVZ2HZ, 6472424]
[paragraph, [734.0, 481.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 517.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 553.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 589.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 625.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 661.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 697.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[paragraph, [734.0, 733.0, 297.0, 36.0], shoonya_13sI5NLSNWJ5MN, 6472424]
[author, [429.0, 509.0, 286.0, 36.0], shoonya_1sNDWQBCADWP22, 6472424]
[paragraph, [105.0, 548.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 584.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 620.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 656.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 692.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 728.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 764.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 800.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 836.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 872.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 908.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 944.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [105.0, 980.0, 300.0, 36.0], shoonya_0sBTGVPR0FX1E6, 6472424]
[paragraph, [417.0, 579.0, 299.0, 36.0], shoonya_2sIT7RN1C52PXF, 6472424]
[paragraph, [417.0, 615.0, 299.0, 36.0], shoonya_2sIT7RN1C52PXF, 6472424]
[paragraph, [417.0, 651.0, 299.0, 36.0], shoonya_2sIT7RN1C52PXF, 6472424]
[paragraph, [417.0, 687.0, 299.0, 36.0], shoonya_2sIT7RN1C52PXF, 6472424]
[paragraph, [417.0, 723.0, 299.0, 36.0], shoonya_2sIT7RN1C52PXF, 6472424]
