[1200, 825]
[paragraph, [133.0, 106.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 124.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 142.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 160.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 178.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 196.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 214.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 232.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 250.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 268.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 286.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 304.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 322.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [133.0, 340.0, 569.0, 18.0], shoonya_1sT0JEF1GBC93I, 5691360]
[paragraph, [135.0, 362.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 380.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 398.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 416.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 434.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 452.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 470.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 488.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 506.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 524.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 542.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [135.0, 560.0, 557.0, 18.0], shoonya_0sPWMDROET6D7O, 5691360]
[paragraph, [133.0, 583.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 601.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 619.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 637.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 655.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 673.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 691.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 709.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 727.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [133.0, 745.0, 558.0, 18.0], shoonya_3s7I3M0F7P88O4, 5691360]
[paragraph, [132.0, 773.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 791.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 809.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 827.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 845.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 863.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 881.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 899.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 917.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 935.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 953.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 971.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 989.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 1007.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
[paragraph, [132.0, 1025.0, 559.0, 18.0], shoonya_2sSTNT0GC6KEPC, 5691360]
