[2717, 1772]
[folio, [768.0, 247.0, 194.0, 46.5], shoonya_0sQYXTYME4J94S, 5721539]
[paragraph, [212.0, 341.0, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 387.5, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 434.0, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 480.5, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 527.0, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 573.5, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [212.0, 620.0, 1375.0, 46.5], U_IoQCOL5A, 5721539]
[paragraph, [330.0, 687.0, 863.0, 46.5], JUIOm8EQB1, 5721539]
[paragraph, [210.0, 762.0, 1379.0, 46.5], PXPasx4Kl_, 5721539]
[paragraph, [210.0, 808.5, 1379.0, 46.5], PXPasx4Kl_, 5721539]
[paragraph, [210.0, 855.0, 1379.0, 46.5], PXPasx4Kl_, 5721539]
[paragraph, [210.0, 955.0, 1384.0, 46.5], StwymJYWbF, 5721539]
[paragraph, [210.0, 1001.5, 1384.0, 46.5], StwymJYWbF, 5721539]
[paragraph, [199.0, 1116.0, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1162.5, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1209.0, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1255.5, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1302.0, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1348.5, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1395.0, 1391.0, 46.5], sLoTwsBYGu, 5721539]
[paragraph, [199.0, 1444.0, 1391.0, 46.5], vrvVTthOKv, 5721539]
[paragraph, [199.0, 1490.5, 1391.0, 46.5], vrvVTthOKv, 5721539]
[paragraph, [199.0, 1537.0, 1391.0, 46.5], vrvVTthOKv, 5721539]
[paragraph, [199.0, 1583.5, 1391.0, 46.5], vrvVTthOKv, 5721539]
[paragraph, [190.0, 1659.0, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1705.5, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1752.0, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1798.5, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1845.0, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1891.5, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1938.0, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [190.0, 1984.5, 1393.0, 46.5], 6DhGaxvaaL, 5721539]
[paragraph, [183.0, 2034.0, 1397.0, 46.5], Q1LTMrEPSE, 5721539]
[paragraph, [183.0, 2080.5, 1397.0, 46.5], Q1LTMrEPSE, 5721539]
[paragraph, [183.0, 2127.0, 1397.0, 46.5], Q1LTMrEPSE, 5721539]
[paragraph, [183.0, 2173.5, 1397.0, 46.5], Q1LTMrEPSE, 5721539]
[paragraph, [177.0, 2225.0, 1406.0, 46.5], HdhgqLNa4u, 5721539]
[paragraph, [177.0, 2271.5, 1406.0, 46.5], HdhgqLNa4u, 5721539]
[paragraph, [177.0, 2318.0, 1406.0, 46.5], HdhgqLNa4u, 5721539]
[paragraph, [330.0, 2411.0, 1111.0, 46.5], IhoUbUo0oU, 5721539]
