[2806, 1983]
[paragraph, [218.0, 230.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 276.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 323.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 369.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 416.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 462.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 509.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 555.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 602.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 648.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 695.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 741.5, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [218.0, 788.0, 1544.0, 46.5], Bh7Ls3PPnN, 5682729]
[paragraph, [220.0, 926.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 972.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1019.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1065.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1112.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1158.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1205.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1251.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1298.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1344.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1391.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1437.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1484.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1530.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1577.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1623.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1670.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1716.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1763.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1809.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1856.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1902.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1949.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 1995.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2042.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2088.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2135.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2181.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2228.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2274.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2321.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2367.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2414.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2460.5, 1549.0, 46.5], uS7si0pw6b, 5682729]
[paragraph, [220.0, 2507.0, 1549.0, 46.5], uS7si0pw6b, 5682729]
