[2035, 1452]
[ordered-list, [316.0, 119.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 155.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 191.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 227.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 263.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 299.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 335.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 371.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 407.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 443.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 479.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 515.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 551.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 587.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[ordered-list, [316.0, 623.0, 703.0, 36.0], shoonya_4s50ZT6VCZM5RB, 5650913]
[paragraph, [256.0, 692.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 728.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 764.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 800.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 836.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 872.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 908.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 944.0, 1097.0, 36.0], shoonya_1sXB7F9GDKZG2H, 5650913]
[paragraph, [256.0, 1058.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1094.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1130.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1166.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1202.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1238.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1274.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
[paragraph, [256.0, 1310.0, 1093.0, 36.0], shoonya_0sUDR1QWA3E541, 5650913]
