[1008, 612]
[ordered-list, [53.0, 65.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 83.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 101.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 119.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 137.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 155.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [53.0, 173.0, 507.0, 18.0], shoonya_0sJDNBCWZ87Z1X, 5717438]
[ordered-list, [52.0, 208.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 226.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 244.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 262.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 280.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 298.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 316.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 334.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 352.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 370.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 388.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 406.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 424.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 442.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 460.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 478.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 496.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 514.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 532.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 550.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 568.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 586.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 604.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 622.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 640.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[ordered-list, [52.0, 658.0, 510.0, 18.0], ipPwjIgkg5, 5717438]
[sub-ordered-list, [57.0, 209.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 227.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 245.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 263.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 281.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 299.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 317.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 335.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [57.0, 353.0, 499.0, 18.0], eEnSbqVzgm, 5717438]
[sub-ordered-list, [59.0, 387.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 405.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 423.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 441.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 459.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 477.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 495.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 513.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[sub-ordered-list, [59.0, 531.0, 492.0, 18.0], 1nHCjbhRsJ, 5717438]
[paragraph, [61.0, 696.0, 493.0, 18.0], MVibC6bI4h, 5717438]
[paragraph, [61.0, 714.0, 493.0, 18.0], MVibC6bI4h, 5717438]
