[3508, 2481]
[flag, [521.0, 102.0, 1423.0, 52.5], ETnl9VFMZp, 6534519]
[flag, [521.0, 154.5, 1423.0, 52.5], ETnl9VFMZp, 6534519]
[paragraph, [669.0, 452.0, 1122.0, 52.5], tmJ7nJ6t6g, 6534519]
[paragraph, [669.0, 504.5, 1122.0, 52.5], tmJ7nJ6t6g, 6534519]
[paragraph, [921.0, 558.0, 632.0, 52.5], D5QDXOquVv, 6534519]
[section-title, [865.0, 769.0, 738.0, 93.0], 744KUQ7YhO, 6534519]
[paragraph, [220.0, 1259.0, 316.0, 52.5], cF5a4ueGPW, 6534519]
[paragraph, [223.0, 1372.0, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [223.0, 1424.5, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [223.0, 1477.0, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [223.0, 1529.5, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [223.0, 1582.0, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [223.0, 1634.5, 2035.0, 52.5], shoonya_0sCOFPWF8I5552, 6534519]
[paragraph, [210.0, 1730.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 1782.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 1835.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 1887.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 1940.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 1992.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2045.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2097.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2150.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2202.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2255.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2307.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2360.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2412.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2465.0, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2517.5, 2053.0, 52.5], XT2m174udj, 6534519]
[paragraph, [210.0, 2570.0, 2053.0, 52.5], XT2m174udj, 6534519]
[ordered-list, [276.0, 2682.0, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2734.5, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2787.0, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2839.5, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2892.0, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2944.5, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 2997.0, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 3049.5, 2000.0, 52.5], R23pU2YEVK, 6534519]
[ordered-list, [276.0, 3102.0, 2000.0, 52.5], R23pU2YEVK, 6534519]
[paragraph, [201.0, 3228.0, 2059.0, 52.5], WytZGchPyi, 6534519]
[paragraph, [201.0, 3280.5, 2059.0, 52.5], WytZGchPyi, 6534519]
[paragraph, [201.0, 3333.0, 2059.0, 52.5], WytZGchPyi, 6534519]
