[2334, 1650]
[paragraph, [284.0, 159.0, 1176.0, 36.0], shoonya_4sAF141DH9XXLP, 5652775]
[paragraph, [284.0, 195.0, 1176.0, 36.0], shoonya_4sAF141DH9XXLP, 5652775]
[paragraph, [284.0, 231.0, 1176.0, 36.0], shoonya_4sAF141DH9XXLP, 5652775]
[paragraph, [284.0, 267.0, 1176.0, 36.0], shoonya_4sAF141DH9XXLP, 5652775]
[paragraph, [278.0, 336.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 372.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 408.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 444.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 480.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 516.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 552.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 588.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 624.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 660.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 696.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 732.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [278.0, 768.0, 1190.0, 36.0], shoonya_0sRHKNU181U6OY, 5652775]
[paragraph, [289.0, 827.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 863.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 899.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 935.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 971.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1007.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1043.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1079.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1115.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1151.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1187.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1223.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1259.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1295.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [289.0, 1331.0, 1175.0, 36.0], shoonya_1sP4CDYMZG6DKF, 5652775]
[paragraph, [287.0, 1372.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1408.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1444.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1480.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1516.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1552.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1588.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1624.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1660.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1696.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [287.0, 1732.0, 1176.0, 36.0], shoonya_2sF1AOARH0IDAY, 5652775]
[paragraph, [278.0, 1812.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[paragraph, [278.0, 1848.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[paragraph, [278.0, 1884.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[paragraph, [278.0, 1920.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[paragraph, [278.0, 1956.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[paragraph, [278.0, 1992.0, 1183.0, 36.0], shoonya_3sJXOH5DGM5AA4, 5652775]
[folio, [350.0, 2088.0, 383.0, 36.0], xoXtndT65Q, 5652775]
