[1241, 798]
[folio, [572.0, 65.0, 132.0, 18.0], shoonya_6s6UAAZHOZ2INM, 5702156]
[paragraph, [85.0, 116.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 134.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 152.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 170.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 188.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 206.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 224.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [85.0, 242.0, 621.0, 18.0], hnb7x-W0rw, 5702156]
[paragraph, [88.0, 270.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 288.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 306.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 324.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 342.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 360.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 378.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 396.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 414.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [88.0, 432.0, 618.0, 18.0], shoonya_0sUJ05ESJ0U6FM, 5702156]
[paragraph, [87.0, 465.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 483.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 501.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 519.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 537.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 555.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 573.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 591.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 609.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 627.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 645.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 663.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 681.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 699.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 717.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 735.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 753.0, 618.0, 18.0], shoonya_1sKEXCYNAKMLQ3, 5702156]
[paragraph, [87.0, 799.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 817.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 835.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 853.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 871.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 889.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 907.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 925.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 943.0, 621.0, 18.0], shoonya_3sKB68RH4Q8UXT, 5702156]
[paragraph, [87.0, 992.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1010.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1028.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1046.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1064.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1082.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1100.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1118.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1136.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
[paragraph, [87.0, 1154.0, 622.0, 18.0], shoonya_5sSQRGJ09BEXJ7, 5702156]
