[2000, 1414]
[section-title, [489.0, 266.0, 277.0, 52.5], uGpgnsQS10, 6514498]
[section-title, [489.0, 318.5, 277.0, 52.5], uGpgnsQS10, 6514498]
[paragraph, [951.0, 523.0, 390.0, 36.0], shoonya_3sAH0YU4OHLZDQ, 6514498]
[paragraph, [951.0, 559.0, 390.0, 36.0], shoonya_3sAH0YU4OHLZDQ, 6514498]
[paragraph, [951.0, 595.0, 390.0, 36.0], shoonya_3sAH0YU4OHLZDQ, 6514498]
[paragraph, [951.0, 631.0, 390.0, 36.0], shoonya_3sAH0YU4OHLZDQ, 6514498]
[paragraph, [951.0, 667.0, 390.0, 36.0], shoonya_3sAH0YU4OHLZDQ, 6514498]
[paragraph, [511.0, 535.0, 394.0, 36.0], shoonya_5sZ9SIL9J2HRDQ, 6514498]
[paragraph, [511.0, 571.0, 394.0, 36.0], shoonya_5sZ9SIL9J2HRDQ, 6514498]
[paragraph, [511.0, 607.0, 394.0, 36.0], shoonya_5sZ9SIL9J2HRDQ, 6514498]
[paragraph, [511.0, 643.0, 394.0, 36.0], shoonya_5sZ9SIL9J2HRDQ, 6514498]
[paragraph, [511.0, 679.0, 394.0, 36.0], shoonya_5sZ9SIL9J2HRDQ, 6514498]
[paragraph, [950.0, 843.0, 397.0, 36.0], shoonya_4sRCM6RDX0RBD4, 6514498]
[paragraph, [950.0, 879.0, 397.0, 36.0], shoonya_4sRCM6RDX0RBD4, 6514498]
[paragraph, [950.0, 915.0, 397.0, 36.0], shoonya_4sRCM6RDX0RBD4, 6514498]
[paragraph, [950.0, 951.0, 397.0, 36.0], shoonya_4sRCM6RDX0RBD4, 6514498]
[paragraph, [950.0, 987.0, 397.0, 36.0], shoonya_4sRCM6RDX0RBD4, 6514498]
[author, [511.0, 975.0, 210.0, 36.0], 8PoDydHnvu, 6514498]
[paragraph, [947.0, 1182.0, 402.0, 36.0], shoonya_2sOFKF56OTTXPV, 6514498]
[paragraph, [947.0, 1218.0, 402.0, 36.0], shoonya_2sOFKF56OTTXPV, 6514498]
[paragraph, [947.0, 1254.0, 402.0, 36.0], shoonya_2sOFKF56OTTXPV, 6514498]
[paragraph, [947.0, 1290.0, 402.0, 36.0], shoonya_2sOFKF56OTTXPV, 6514498]
[paragraph, [947.0, 1326.0, 402.0, 36.0], shoonya_2sOFKF56OTTXPV, 6514498]
[author, [949.0, 1613.0, 209.0, 36.0], Q-AqVlzES8, 6514498]
[website-link, [1058.0, 1883.0, 282.0, 18.0], 4ptItkiEVM, 6514498]
[website-link, [1058.0, 1901.0, 282.0, 18.0], 4ptItkiEVM, 6514498]
