[1650, 1275]
[paragraph, [276.0, 126.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 162.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 198.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 234.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 270.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 306.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [276.0, 342.0, 808.0, 36.0], shoonya_3sIXJT7JNOMYN7, 5714832]
[paragraph, [272.0, 410.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 446.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 482.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 518.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 554.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 590.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 626.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 662.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 698.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 734.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 770.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 806.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 842.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 878.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [272.0, 914.0, 815.0, 36.0], shoonya_2s14GNIS8YWQ4D, 5714832]
[paragraph, [276.0, 977.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1013.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1049.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1085.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1121.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1157.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1193.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1229.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1265.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1301.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1337.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
[paragraph, [276.0, 1373.0, 810.0, 36.0], shoonya_0sQTDB0KJIP6F7, 5714832]
