[1650, 1275]
[headline, [160.0, 76.0, 770.0, 37.5], PktTzEN4-4, 6471872]
[paragraph, [162.0, 170.0, 457.0, 36.0], 5P4ciQSPAO, 6471872]
[sub-headline, [641.0, 181.0, 393.0, 36.0], pwD7kXVj90, 6471872]
[sub-headline, [641.0, 217.0, 393.0, 36.0], pwD7kXVj90, 6471872]
[sub-headline, [641.0, 253.0, 393.0, 36.0], pwD7kXVj90, 6471872]
[paragraph, [162.0, 227.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 263.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 299.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 335.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 371.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 407.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 443.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[paragraph, [162.0, 479.0, 457.0, 36.0], BwVdt8NSAM, 6471872]
[author, [678.0, 301.0, 101.0, 36.0], S7Wgo-8W5Z, 6471872]
[paragraph, [646.0, 345.0, 439.0, 36.0], SrAEViXW1P, 6471872]
[paragraph, [646.0, 381.0, 439.0, 36.0], SrAEViXW1P, 6471872]
[paragraph, [646.0, 417.0, 439.0, 36.0], SrAEViXW1P, 6471872]
[paragraph, [646.0, 453.0, 439.0, 36.0], SrAEViXW1P, 6471872]
[paragraph, [646.0, 489.0, 439.0, 36.0], SrAEViXW1P, 6471872]
[section-title, [343.0, 589.0, 738.0, 49.5], ZBLWLWtAxG, 6471872]
[paragraph, [345.0, 686.0, 706.0, 36.0], DgS9DEFO1h, 6471872]
[paragraph, [345.0, 722.0, 706.0, 36.0], DgS9DEFO1h, 6471872]
[author, [378.0, 774.0, 157.0, 36.0], FZ6Rb7xe7t, 6471872]
[paragraph, [620.0, 822.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 858.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 894.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 930.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 966.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1002.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1038.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1074.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1110.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1146.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [620.0, 1182.0, 462.0, 36.0], Hcek6mJeoh, 6471872]
[paragraph, [187.0, 826.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [187.0, 862.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [187.0, 898.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [187.0, 934.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [187.0, 970.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [187.0, 1006.0, 432.0, 36.0], 1FSKnWCal4, 6471872]
[paragraph, [179.0, 1055.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1091.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1127.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1163.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1199.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1235.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1271.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1307.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1343.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [179.0, 1379.0, 439.0, 36.0], u_VmS_Gd3C, 6471872]
[paragraph, [635.0, 1245.0, 448.0, 36.0], JOxOT54qq-, 6471872]
[paragraph, [635.0, 1281.0, 448.0, 36.0], JOxOT54qq-, 6471872]
[paragraph, [625.0, 1346.0, 456.0, 36.0], WxoB8-RLcH, 6471872]
[paragraph, [625.0, 1382.0, 456.0, 36.0], WxoB8-RLcH, 6471872]
[paragraph, [625.0, 1418.0, 456.0, 36.0], WxoB8-RLcH, 6471872]
[folio, [146.0, 1455.0, 206.0, 36.0], FDU_d09xou, 6471872]
