[1244, 903]
[chapter-title, [269.0, 35.0, 254.0, 30.0], shoonya_14s4XM3G7ZZ2VV, 5776332]
[paragraph, [80.0, 73.0, 636.0, 18.0], shoonya_9s6X58TW7KRH7U, 5776332]
[paragraph, [80.0, 91.0, 636.0, 18.0], shoonya_9s6X58TW7KRH7U, 5776332]
[paragraph, [80.0, 109.0, 636.0, 18.0], shoonya_9s6X58TW7KRH7U, 5776332]
[paragraph, [79.0, 123.0, 645.0, 18.0], omJMeCY0N2, 5776332]
[paragraph, [79.0, 141.0, 645.0, 18.0], omJMeCY0N2, 5776332]
[paragraph, [79.0, 159.0, 645.0, 18.0], omJMeCY0N2, 5776332]
[paragraph, [79.0, 172.0, 643.0, 18.0], shoonya_12sMFTD96OK90Y, 5776332]
[paragraph, [79.0, 190.0, 643.0, 18.0], shoonya_12sMFTD96OK90Y, 5776332]
[paragraph, [79.0, 208.0, 643.0, 18.0], shoonya_12sMFTD96OK90Y, 5776332]
[paragraph, [81.0, 228.0, 638.0, 18.0], shoonya_8sYVUX0VFR1HPX, 5776332]
[paragraph, [81.0, 246.0, 638.0, 18.0], shoonya_8sYVUX0VFR1HPX, 5776332]
[paragraph, [81.0, 278.0, 639.0, 18.0], shoonya_5sUCXSS994WKI5, 5776332]
[paragraph, [81.0, 296.0, 639.0, 18.0], shoonya_5sUCXSS994WKI5, 5776332]
[paragraph, [81.0, 314.0, 639.0, 18.0], shoonya_5sUCXSS994WKI5, 5776332]
[paragraph, [81.0, 332.0, 639.0, 18.0], shoonya_5sUCXSS994WKI5, 5776332]
[paragraph, [100.0, 354.0, 120.0, 18.0], shoonya_10sTXBQ2W13DY0, 5776332]
[paragraph, [107.0, 378.0, 436.0, 18.0], shoonya_7sZTSEN2GLQKAZ, 5776332]
[paragraph, [85.0, 405.0, 634.0, 18.0], shoonya_2s8OQR14WUVHXJ, 5776332]
[paragraph, [85.0, 423.0, 634.0, 18.0], shoonya_2s8OQR14WUVHXJ, 5776332]
[paragraph, [85.0, 441.0, 634.0, 18.0], shoonya_2s8OQR14WUVHXJ, 5776332]
[paragraph, [85.0, 459.0, 634.0, 18.0], shoonya_2s8OQR14WUVHXJ, 5776332]
[paragraph, [85.0, 481.0, 634.0, 18.0], shoonya_1sXHU10V4H7D7Q, 5776332]
[paragraph, [85.0, 499.0, 634.0, 18.0], shoonya_1sXHU10V4H7D7Q, 5776332]
[paragraph, [85.0, 517.0, 634.0, 18.0], shoonya_1sXHU10V4H7D7Q, 5776332]
[paragraph, [85.0, 535.0, 634.0, 18.0], shoonya_1sXHU10V4H7D7Q, 5776332]
[paragraph, [86.0, 560.0, 635.0, 18.0], shoonya_3sQ9DA9UZDND11, 5776332]
[paragraph, [86.0, 578.0, 635.0, 18.0], shoonya_3sQ9DA9UZDND11, 5776332]
[paragraph, [86.0, 612.0, 634.0, 18.0], shoonya_4sZ8WWB2ATBCAF, 5776332]
[paragraph, [86.0, 630.0, 634.0, 18.0], shoonya_4sZ8WWB2ATBCAF, 5776332]
[paragraph, [86.0, 666.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 684.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 702.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 720.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 738.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 756.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [86.0, 774.0, 636.0, 18.0], shoonya_0s22YH17JE8TBC, 5776332]
[paragraph, [112.0, 795.0, 538.0, 18.0], shoonya_16sPS0W0QA80Q5, 5776332]
[paragraph, [95.0, 817.0, 627.0, 18.0], shoonya_15sSAZLNBU7NF7, 5776332]
[paragraph, [95.0, 835.0, 627.0, 18.0], shoonya_15sSAZLNBU7NF7, 5776332]
[paragraph, [95.0, 853.0, 627.0, 18.0], shoonya_15sSAZLNBU7NF7, 5776332]
[paragraph, [88.0, 871.0, 641.0, 18.0], shoonya_11s6FJA3RGJCDI, 5776332]
[paragraph, [88.0, 889.0, 641.0, 18.0], shoonya_11s6FJA3RGJCDI, 5776332]
[paragraph, [88.0, 907.0, 641.0, 18.0], shoonya_11s6FJA3RGJCDI, 5776332]
[paragraph, [88.0, 926.0, 637.0, 18.0], shoonya_13sA71J6TP2JPM, 5776332]
[paragraph, [88.0, 944.0, 637.0, 18.0], shoonya_13sA71J6TP2JPM, 5776332]
[paragraph, [88.0, 979.0, 637.0, 18.0], shoonya_6sVAGYSVOFWPKS, 5776332]
[paragraph, [88.0, 997.0, 637.0, 18.0], shoonya_6sVAGYSVOFWPKS, 5776332]
[paragraph, [85.0, 1033.0, 640.0, 18.0], doUE2fM5jT, 5776332]
[paragraph, [85.0, 1051.0, 640.0, 18.0], doUE2fM5jT, 5776332]
[paragraph, [85.0, 1069.0, 640.0, 18.0], doUE2fM5jT, 5776332]
