[2481, 1654]
[folio, [1188.0, 106.0, 118.0, 36.0], shoonya_2sJH0VJMS1ZKWB, 5721146]
[paragraph, [163.0, 219.0, 1269.0, 36.0], oFzUGmHobQ, 5721146]
[paragraph, [163.0, 255.0, 1269.0, 36.0], oFzUGmHobQ, 5721146]
[paragraph, [163.0, 291.0, 1269.0, 36.0], oFzUGmHobQ, 5721146]
[paragraph, [163.0, 327.0, 1269.0, 36.0], oFzUGmHobQ, 5721146]
[paragraph, [169.0, 374.0, 1261.0, 36.0], j37ChnjeoY, 5721146]
[paragraph, [169.0, 410.0, 1261.0, 36.0], j37ChnjeoY, 5721146]
[paragraph, [169.0, 446.0, 1261.0, 36.0], j37ChnjeoY, 5721146]
[paragraph, [169.0, 482.0, 1261.0, 36.0], j37ChnjeoY, 5721146]
[paragraph, [221.0, 529.0, 729.0, 36.0], t2NOcLYh7a, 5721146]
[paragraph, [165.0, 585.0, 1269.0, 36.0], cSw0VRVMAp, 5721146]
[paragraph, [165.0, 621.0, 1269.0, 36.0], cSw0VRVMAp, 5721146]
[paragraph, [167.0, 688.0, 1267.0, 36.0], WzUvUM9gZ_, 5721146]
[paragraph, [167.0, 724.0, 1267.0, 36.0], WzUvUM9gZ_, 5721146]
[paragraph, [167.0, 760.0, 1267.0, 36.0], WzUvUM9gZ_, 5721146]
[paragraph, [167.0, 796.0, 1267.0, 36.0], WzUvUM9gZ_, 5721146]
[paragraph, [225.0, 841.0, 878.0, 36.0], kbFiHumzoF, 5721146]
[paragraph, [161.0, 895.0, 1273.0, 36.0], Jw9m7L5J3s, 5721146]
[paragraph, [161.0, 931.0, 1273.0, 36.0], Jw9m7L5J3s, 5721146]
[paragraph, [219.0, 1004.0, 593.0, 36.0], wOQiqqToWo, 5721146]
[paragraph, [219.0, 1058.0, 498.0, 36.0], vHxc-tnuWb, 5721146]
[paragraph, [227.0, 1108.0, 370.0, 36.0], mJw_gDWirs, 5721146]
[paragraph, [231.0, 1157.0, 688.0, 36.0], S6OROTAPd3, 5721146]
[paragraph, [231.0, 1211.0, 492.0, 36.0], ftxHG-FnI3, 5721146]
[paragraph, [231.0, 1263.0, 388.0, 36.0], kTIe90jCUc, 5721146]
[paragraph, [229.0, 1310.0, 376.0, 36.0], H1ODh5sYc9, 5721146]
[paragraph, [231.0, 1366.0, 779.0, 36.0], ZkK_uYVjKI, 5721146]
[paragraph, [217.0, 1418.0, 537.0, 36.0], ywOteUPKdg, 5721146]
[paragraph, [223.0, 1472.0, 401.0, 36.0], GhtXpkCTpy, 5721146]
[paragraph, [171.0, 1521.0, 1257.0, 36.0], 3pRVcvW-u2, 5721146]
[paragraph, [171.0, 1557.0, 1257.0, 36.0], 3pRVcvW-u2, 5721146]
[paragraph, [171.0, 1593.0, 1257.0, 36.0], 3pRVcvW-u2, 5721146]
[paragraph, [171.0, 1629.0, 1257.0, 36.0], 3pRVcvW-u2, 5721146]
[paragraph, [171.0, 1665.0, 1257.0, 36.0], 3pRVcvW-u2, 5721146]
[paragraph, [169.0, 1730.0, 1273.0, 36.0], lwo5h35_h2, 5721146]
[paragraph, [169.0, 1766.0, 1273.0, 36.0], lwo5h35_h2, 5721146]
[paragraph, [169.0, 1802.0, 1273.0, 36.0], lwo5h35_h2, 5721146]
[paragraph, [169.0, 1838.0, 1273.0, 36.0], lwo5h35_h2, 5721146]
[paragraph, [165.0, 1887.0, 1261.0, 36.0], TWcAjuw2N9, 5721146]
[paragraph, [165.0, 1923.0, 1261.0, 36.0], TWcAjuw2N9, 5721146]
[paragraph, [231.0, 1993.0, 1006.0, 36.0], bry_wCEsy3, 5721146]
[paragraph, [166.0, 2047.0, 1262.0, 36.0], shoonya_1sCYX42F91A26C, 5721146]
[paragraph, [166.0, 2083.0, 1262.0, 36.0], shoonya_1sCYX42F91A26C, 5721146]
[paragraph, [166.0, 2119.0, 1262.0, 36.0], shoonya_1sCYX42F91A26C, 5721146]
[paragraph, [166.0, 2155.0, 1262.0, 36.0], shoonya_1sCYX42F91A26C, 5721146]
