[1030, 675]
[chapter-title, [247.0, 50.0, 188.0, 30.0], shoonya_0s9NYSYY6WJHWQ, 5775725]
[paragraph, [62.0, 105.0, 545.0, 18.0], 80mbi_O14R, 5775725]
[paragraph, [62.0, 123.0, 545.0, 18.0], 80mbi_O14R, 5775725]
[paragraph, [62.0, 141.0, 545.0, 18.0], 80mbi_O14R, 5775725]
[paragraph, [54.0, 164.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 182.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 200.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 218.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 236.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 254.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 272.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 290.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 308.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 326.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 344.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 362.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 380.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 398.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 416.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 434.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 452.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 470.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 488.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 506.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 524.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 542.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 560.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 578.0, 553.0, 18.0], 3Of6Y90xiv, 5775725]
[paragraph, [54.0, 605.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 623.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 641.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 659.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 677.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 695.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 713.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 731.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 749.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 767.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 785.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 803.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 821.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 839.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 857.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 875.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 893.0, 551.0, 18.0], SISQzEfvse, 5775725]
[paragraph, [54.0, 911.0, 551.0, 18.0], SISQzEfvse, 5775725]
