[1684, 1191]
[folio, [404.0, 100.0, 385.0, 36.0], Y7ioejV9yS, 6464170]
[folio, [404.0, 136.0, 385.0, 36.0], Y7ioejV9yS, 6464170]
[paragraph, [93.0, 200.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 236.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 272.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 308.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 344.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 380.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 416.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 452.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 488.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 524.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 560.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 596.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 632.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[paragraph, [93.0, 668.0, 1018.0, 36.0], shoonya_0s0RV510HZ9HTU, 6464170]
[section-title, [408.0, 740.0, 386.0, 49.5], ThzHmJ50_O, 6464170]
[paragraph, [83.0, 812.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 848.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 884.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 920.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 956.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 992.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1028.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1064.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1100.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1136.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1172.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1208.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1244.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1280.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1316.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1352.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1388.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
[paragraph, [83.0, 1424.0, 1037.0, 36.0], deFnkxlS_h, 6464170]
