[1625, 1211]
[headline, [237.0, 106.0, 714.0, 37.5], shoonya_1sI4SWS91504BG, 5742162]
[author, [499.0, 203.0, 220.0, 36.0], shoonya_0sSUS78GGSG7DC, 5742162]
[paragraph, [425.0, 278.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 314.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 350.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 386.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 422.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 458.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 494.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 530.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 566.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 602.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 638.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 674.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 710.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 746.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 782.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 818.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 854.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 890.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 926.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 962.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 998.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1034.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1070.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1106.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1142.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1178.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1214.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1250.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1286.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1322.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1358.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1394.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [425.0, 1430.0, 353.0, 36.0], pN_q9ccxAC, 5742162]
[paragraph, [786.0, 288.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 324.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 360.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 396.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 432.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 468.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 504.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 540.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 576.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 612.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 648.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 684.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 720.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 756.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 792.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 828.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 864.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 900.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 936.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 972.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 1008.0, 357.0, 36.0], HvXLcLipH_, 5742162]
[paragraph, [786.0, 1044.0, 357.0, 36.0], HvXLcLipH_, 5742162]
