[961, 612]
[headline, [162.0, 233.0, 309.0, 25.5], shoonya_1sL38YZTTDHGNO, 6460086]
[paragraph, [106.0, 292.0, 413.0, 18.0], shoonya_0sZUSS8XL59PBY, 6460086]
[paragraph, [106.0, 310.0, 413.0, 18.0], shoonya_0sZUSS8XL59PBY, 6460086]
[paragraph, [106.0, 328.0, 413.0, 18.0], shoonya_0sZUSS8XL59PBY, 6460086]
[paragraph, [115.0, 358.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 376.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 394.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 412.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 430.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 448.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 466.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 484.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 502.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 520.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 538.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 556.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 574.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 592.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 610.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 628.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 646.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 664.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 682.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 700.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 718.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 736.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 754.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 772.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 790.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 808.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 826.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 844.0, 408.0, 18.0], puJR8GXbTe, 6460086]
[paragraph, [115.0, 862.0, 408.0, 18.0], puJR8GXbTe, 6460086]
