[1565, 1152]
[headline, [374.0, 373.0, 393.0, 37.5], shoonya_1sCZUEW6KMSH5I, 5713022]
[headline, [374.0, 410.5, 393.0, 37.5], shoonya_1sCZUEW6KMSH5I, 5713022]
[headline, [374.0, 448.0, 393.0, 37.5], shoonya_1sCZUEW6KMSH5I, 5713022]
[sub-headline, [500.0, 500.0, 139.0, 36.0], mrby-CCt5z, 5713022]
[paragraph, [325.0, 549.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 585.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 621.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 657.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 693.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 729.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 765.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 801.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 837.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 873.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 909.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 945.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 981.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 1017.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 1053.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 1089.0, 493.0, 36.0], KaknxljbAG, 5713022]
[paragraph, [325.0, 1125.0, 493.0, 36.0], KaknxljbAG, 5713022]
