[2180, 1672]
[paragraph, [58.0, 161.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 197.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 233.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 269.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 305.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 341.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [58.0, 377.0, 754.0, 36.0], shoonya_4sJFA108TPOAYC, 5654474]
[paragraph, [830.0, 209.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 245.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 281.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 317.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 353.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 389.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 425.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 461.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 497.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 533.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 569.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 605.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 641.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [830.0, 677.0, 794.0, 36.0], shoonya_1s64VAMF5KU8NZ, 5654474]
[paragraph, [63.0, 477.0, 765.0, 36.0], shoonya_9s898AP5WMEJHZ, 5654474]
[paragraph, [63.0, 513.0, 765.0, 36.0], shoonya_9s898AP5WMEJHZ, 5654474]
[paragraph, [63.0, 549.0, 765.0, 36.0], shoonya_9s898AP5WMEJHZ, 5654474]
[paragraph, [63.0, 585.0, 765.0, 36.0], shoonya_9s898AP5WMEJHZ, 5654474]
[paragraph, [70.0, 643.0, 773.0, 36.0], shoonya_3sKREKSDWCITJY, 5654474]
[paragraph, [70.0, 679.0, 773.0, 36.0], shoonya_3sKREKSDWCITJY, 5654474]
[paragraph, [70.0, 715.0, 773.0, 36.0], shoonya_3sKREKSDWCITJY, 5654474]
