[3509, 2482]
[folio, [881.0, 214.0, 436.0, 52.5], kEUOcfpckw, 5691961]
[paragraph, [226.0, 343.0, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 395.5, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 448.0, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 500.5, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 553.0, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 605.5, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [226.0, 658.0, 1759.0, 52.5], shoonya_2sI9UMR8YT5JCP, 5691961]
[paragraph, [220.0, 735.0, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 787.5, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 840.0, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 892.5, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 945.0, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 997.5, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [220.0, 1050.0, 1774.0, 52.5], UtN0GLnXM_, 5691961]
[paragraph, [307.0, 1138.0, 366.0, 52.5], wCXZsxb-48, 5691961]
[paragraph, [232.0, 1213.0, 1752.0, 52.5], eMSgoZ1AVg, 5691961]
[paragraph, [232.0, 1265.5, 1752.0, 52.5], eMSgoZ1AVg, 5691961]
[paragraph, [232.0, 1318.0, 1752.0, 52.5], eMSgoZ1AVg, 5691961]
[paragraph, [232.0, 1370.5, 1752.0, 52.5], eMSgoZ1AVg, 5691961]
[paragraph, [217.0, 1439.0, 1768.0, 52.5], USfg6rzI-k, 5691961]
[paragraph, [217.0, 1491.5, 1768.0, 52.5], USfg6rzI-k, 5691961]
[paragraph, [217.0, 1544.0, 1768.0, 52.5], USfg6rzI-k, 5691961]
[paragraph, [217.0, 1596.5, 1768.0, 52.5], USfg6rzI-k, 5691961]
[paragraph, [223.0, 1675.0, 1771.0, 52.5], hKtyTbfvxU, 5691961]
[paragraph, [223.0, 1727.5, 1771.0, 52.5], hKtyTbfvxU, 5691961]
[paragraph, [214.0, 1827.0, 1762.0, 52.5], 23oA4r3Gvp, 5691961]
[paragraph, [214.0, 1879.5, 1762.0, 52.5], 23oA4r3Gvp, 5691961]
[paragraph, [214.0, 1932.0, 1762.0, 52.5], 23oA4r3Gvp, 5691961]
[paragraph, [214.0, 1984.5, 1762.0, 52.5], 23oA4r3Gvp, 5691961]
[paragraph, [220.0, 2072.0, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2124.5, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2177.0, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2229.5, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2282.0, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2334.5, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [220.0, 2387.0, 1768.0, 52.5], IUD9CD58l9, 5691961]
[paragraph, [223.0, 2460.0, 676.0, 52.5], YVYLmKJPV8, 5691961]
[paragraph, [204.0, 2536.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2588.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2641.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2693.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2746.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2798.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2851.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2903.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 2956.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3008.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3061.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3113.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3166.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3218.5, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
[paragraph, [204.0, 3271.0, 1778.0, 52.5], shoonya_0sVURDEAZYM67Q, 5691961]
