[792, 612]
[folio, [212.0, 23.0, 227.0, 18.0], USs-MUPnDO, 5743522]
[paragraph, [109.0, 54.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 72.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 90.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 108.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 126.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 144.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 162.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 180.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [109.0, 198.0, 432.0, 18.0], shoonya_0sWST9VMS4CENI, 5743522]
[paragraph, [106.0, 241.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 259.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 277.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 295.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 313.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 331.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 349.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [106.0, 367.0, 432.0, 18.0], X4p9yDIgBd, 5743522]
[paragraph, [105.0, 394.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 412.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 430.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 448.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 466.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 484.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 502.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 520.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 538.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 556.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 574.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 592.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [105.0, 610.0, 437.0, 18.0], -sdMX0a-gG, 5743522]
[paragraph, [106.0, 637.0, 436.0, 18.0], oDllbXEK3Z, 5743522]
[paragraph, [106.0, 655.0, 436.0, 18.0], oDllbXEK3Z, 5743522]
[paragraph, [106.0, 673.0, 436.0, 18.0], oDllbXEK3Z, 5743522]
[paragraph, [106.0, 691.0, 436.0, 18.0], oDllbXEK3Z, 5743522]
