[1755, 1241]
[folio, [550.0, 197.0, 518.0, 36.0], y0lMVPB1Wn, 5760005]
[paragraph, [218.0, 268.0, 856.0, 36.0], g_zAT4cUNX, 5760005]
[paragraph, [218.0, 304.0, 856.0, 36.0], g_zAT4cUNX, 5760005]
[paragraph, [218.0, 340.0, 856.0, 36.0], g_zAT4cUNX, 5760005]
[paragraph, [218.0, 376.0, 856.0, 36.0], g_zAT4cUNX, 5760005]
[paragraph, [218.0, 412.0, 856.0, 36.0], g_zAT4cUNX, 5760005]
[paragraph, [223.0, 460.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 496.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 532.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 568.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 604.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 640.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 676.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [223.0, 712.0, 856.0, 36.0], gJQG4NHA3F, 5760005]
[paragraph, [219.0, 781.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 817.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 853.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 889.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 925.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 961.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 997.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 1033.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 1069.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [219.0, 1105.0, 852.0, 36.0], shoonya_3sI9HT66D16DFA, 5760005]
[paragraph, [228.0, 1185.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1221.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1257.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1293.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1329.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1365.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1401.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1437.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1473.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1509.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1545.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
[paragraph, [228.0, 1581.0, 838.0, 36.0], shoonya_0sY3OPJV2RCMCS, 5760005]
