[1646, 1092]
[paragraph, [123.0, 138.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 174.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 210.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 246.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 282.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 318.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 354.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 390.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 426.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 462.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 498.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 534.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 570.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 606.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 642.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 678.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 714.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 750.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 786.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 822.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 858.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 894.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 930.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [123.0, 966.0, 852.0, 36.0], shoonya_1s83FAFC18UUE6, 6469686]
[paragraph, [121.0, 1022.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1058.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1094.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1130.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1166.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1202.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1238.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1274.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1310.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1346.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
[paragraph, [121.0, 1382.0, 850.0, 36.0], shoonya_0sQ3QAJWOTKNZA, 6469686]
