[1518, 1075]
[paragraph, [113.0, 144.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 180.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 216.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 252.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 288.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 324.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 360.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 396.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 432.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 468.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 504.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [113.0, 540.0, 427.0, 36.0], shoonya_0s1QTJAXQUBHBQ, 5722740]
[paragraph, [557.0, 144.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 180.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 216.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 252.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 288.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 324.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 360.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [557.0, 396.0, 428.0, 36.0], shoonya_2s1I90OJHXKO4W, 5722740]
[paragraph, [556.0, 438.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 474.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 510.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 546.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 582.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 618.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 654.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 690.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 726.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 762.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 798.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [556.0, 834.0, 428.0, 36.0], shoonya_1sBO959FLIPZ6H, 5722740]
[paragraph, [115.0, 596.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 632.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 668.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 704.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 740.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 776.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 812.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 848.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 884.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 920.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 956.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 992.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1028.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1064.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1100.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1136.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1172.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1208.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1244.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [115.0, 1280.0, 428.0, 36.0], shoonya_4sTPWH8IYX1R8Q, 5722740]
[paragraph, [558.0, 886.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 922.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 958.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 994.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1030.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1066.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1102.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1138.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1174.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1210.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1246.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[paragraph, [558.0, 1282.0, 430.0, 36.0], shoonya_3sBPDDAIRXKGJ9, 5722740]
[folio, [193.0, 1388.0, 293.0, 36.0], shoonya_6sX72ZTDVE2GVU, 5722740]
