[1152, 739]
[paragraph, [96.0, 180.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 198.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 216.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 234.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 252.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 270.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 288.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 306.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 324.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 342.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 360.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 378.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 396.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 414.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 432.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 450.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 468.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 486.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 504.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 522.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [96.0, 540.0, 541.0, 18.0], shoonya_1sKWU5I6NQ8CL1, 5741307]
[paragraph, [97.0, 574.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 592.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 610.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 628.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 646.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 664.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 682.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 700.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 718.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 736.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 754.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 772.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 790.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 808.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 826.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 844.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 862.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 880.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 898.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 916.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 934.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 952.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 970.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 988.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[paragraph, [97.0, 1006.0, 541.0, 18.0], shoonya_2sL2HV7P5V38M1, 5741307]
[footnote, [418.0, 1112.0, 271.0, 18.0], zRBkROkCGW, 5741307]
