[1601, 1128]
[paragraph, [746.0, 239.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 275.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 311.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 347.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 383.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 419.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [746.0, 455.0, 271.0, 36.0], shoonya_5sOAU4W0EV827S, 6472210]
[paragraph, [747.0, 515.0, 268.0, 36.0], 4aYN1tq8Yq, 6472210]
[paragraph, [747.0, 551.0, 268.0, 36.0], 4aYN1tq8Yq, 6472210]
[paragraph, [747.0, 587.0, 268.0, 36.0], 4aYN1tq8Yq, 6472210]
[paragraph, [747.0, 623.0, 268.0, 36.0], 4aYN1tq8Yq, 6472210]
[paragraph, [747.0, 659.0, 268.0, 36.0], 4aYN1tq8Yq, 6472210]
[paragraph, [70.0, 647.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 683.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 719.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 755.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 791.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 827.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [70.0, 863.0, 309.0, 36.0], shoonya_2s8P5YCG8AVC12, 6472210]
[paragraph, [398.0, 647.0, 310.0, 36.0], shoonya_3sKU988XFENL03, 6472210]
[paragraph, [398.0, 683.0, 310.0, 36.0], shoonya_3sKU988XFENL03, 6472210]
[paragraph, [398.0, 719.0, 310.0, 36.0], shoonya_3sKU988XFENL03, 6472210]
[contact-info, [762.0, 716.0, 254.0, 36.0], lCjcW1EAOK, 6472210]
[contact-info, [762.0, 752.0, 254.0, 36.0], lCjcW1EAOK, 6472210]
[contact-info, [762.0, 788.0, 254.0, 36.0], lCjcW1EAOK, 6472210]
[paragraph, [398.0, 775.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 811.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 847.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 883.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 919.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 955.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 991.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 1027.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [398.0, 1063.0, 314.0, 36.0], shoonya_4s4RN8VDS0YKSY, 6472210]
[paragraph, [69.0, 900.0, 311.0, 36.0], shoonya_1sBX1ELMCAX6ID, 6472210]
[paragraph, [69.0, 936.0, 311.0, 36.0], shoonya_1sBX1ELMCAX6ID, 6472210]
[paragraph, [69.0, 972.0, 311.0, 36.0], shoonya_1sBX1ELMCAX6ID, 6472210]
[paragraph, [69.0, 1008.0, 311.0, 36.0], shoonya_1sBX1ELMCAX6ID, 6472210]
[paragraph, [69.0, 1044.0, 311.0, 36.0], shoonya_1sBX1ELMCAX6ID, 6472210]
[paragraph, [726.0, 918.0, 316.0, 36.0], shoonya_6sBS9Z6404DD5J, 6472210]
[paragraph, [726.0, 954.0, 316.0, 36.0], shoonya_6sBS9Z6404DD5J, 6472210]
[contact-info, [764.0, 1002.0, 277.0, 36.0], --iupJJHLF, 6472210]
[contact-info, [764.0, 1038.0, 277.0, 36.0], --iupJJHLF, 6472210]
[ordered-list, [584.0, 1156.0, 426.0, 36.0], YUmXcd39Lt, 6472210]
[ordered-list, [584.0, 1192.0, 426.0, 36.0], YUmXcd39Lt, 6472210]
[paragraph, [92.0, 1213.0, 463.0, 36.0], Etdm1flY9W, 6472210]
[paragraph, [92.0, 1249.0, 463.0, 36.0], Etdm1flY9W, 6472210]
[paragraph, [599.0, 1263.0, 402.0, 36.0], RuSdnDGtVq, 6472210]
[ordered-list, [90.0, 1305.0, 471.0, 36.0], shoonya_9s0MER1LDYOTFJ, 6472210]
[ordered-list, [90.0, 1341.0, 471.0, 36.0], shoonya_9s0MER1LDYOTFJ, 6472210]
[ordered-list, [90.0, 1377.0, 471.0, 36.0], shoonya_9s0MER1LDYOTFJ, 6472210]
[ordered-list, [90.0, 1413.0, 471.0, 36.0], shoonya_9s0MER1LDYOTFJ, 6472210]
[flag, [717.0, 1326.0, 190.0, 36.0], zR-ZNlDvXt, 6472210]
[contact-info, [621.0, 1400.0, 387.0, 36.0], SliXGwsqCv, 6472210]
