[1250, 850]
[chapter-title, [360.0, 40.0, 215.0, 30.0], shoonya_9s0EBE7AJNKBP2, 5776312]
[paragraph, [156.0, 79.0, 624.0, 18.0], shoonya_7sYZ312AAVD54R, 5776312]
[paragraph, [156.0, 97.0, 624.0, 18.0], shoonya_7sYZ312AAVD54R, 5776312]
[paragraph, [173.0, 131.0, 312.0, 18.0], shoonya_10sK7A62MR7RNU, 5776312]
[paragraph, [154.0, 153.0, 632.0, 18.0], shoonya_2sM7VOINQAE27P, 5776312]
[paragraph, [154.0, 171.0, 632.0, 18.0], shoonya_2sM7VOINQAE27P, 5776312]
[paragraph, [154.0, 189.0, 632.0, 18.0], shoonya_2sM7VOINQAE27P, 5776312]
[paragraph, [156.0, 205.0, 632.0, 18.0], shoonya_8s5OTCN31S26X4, 5776312]
[paragraph, [156.0, 223.0, 632.0, 18.0], shoonya_8s5OTCN31S26X4, 5776312]
[paragraph, [156.0, 241.0, 632.0, 18.0], shoonya_8s5OTCN31S26X4, 5776312]
[paragraph, [178.0, 256.0, 116.0, 18.0], shoonya_3sQ2R9VB4Y79AM, 5776312]
[paragraph, [152.0, 279.0, 630.0, 18.0], shoonya_16s0GLWUA9DH7J, 5776312]
[paragraph, [180.0, 307.0, 362.0, 18.0], shoonya_5s77TCN3DQWREA, 5776312]
[paragraph, [160.0, 331.0, 624.0, 18.0], LetYpGT-5h, 5776312]
[paragraph, [160.0, 349.0, 624.0, 18.0], LetYpGT-5h, 5776312]
[paragraph, [177.0, 381.0, 404.0, 18.0], shoonya_6sLVOQ5J4I2M8E, 5776312]
[paragraph, [154.0, 403.0, 586.0, 18.0], shoonya_15sCEC89K3KVLP, 5776312]
[paragraph, [159.0, 430.0, 627.0, 18.0], O6wtHHI-hG, 5776312]
[paragraph, [159.0, 448.0, 627.0, 18.0], O6wtHHI-hG, 5776312]
[paragraph, [159.0, 466.0, 627.0, 18.0], O6wtHHI-hG, 5776312]
[paragraph, [158.0, 479.0, 628.0, 18.0], shoonya_11sOHOYV6BRVUS, 5776312]
[paragraph, [158.0, 497.0, 628.0, 18.0], shoonya_11sOHOYV6BRVUS, 5776312]
[paragraph, [158.0, 515.0, 628.0, 18.0], shoonya_11sOHOYV6BRVUS, 5776312]
[paragraph, [158.0, 533.0, 628.0, 18.0], shoonya_11sOHOYV6BRVUS, 5776312]
[paragraph, [156.0, 552.0, 630.0, 18.0], shoonya_12s2JNESTYKXB7, 5776312]
[paragraph, [156.0, 570.0, 630.0, 18.0], shoonya_12s2JNESTYKXB7, 5776312]
[paragraph, [156.0, 588.0, 630.0, 18.0], shoonya_12s2JNESTYKXB7, 5776312]
[paragraph, [154.0, 604.0, 632.0, 18.0], A2_LyRaJPd, 5776312]
[paragraph, [154.0, 622.0, 632.0, 18.0], A2_LyRaJPd, 5776312]
[paragraph, [154.0, 640.0, 632.0, 18.0], A2_LyRaJPd, 5776312]
[paragraph, [181.0, 652.0, 463.0, 18.0], ecIj_kdK3Z, 5776312]
[paragraph, [145.0, 682.0, 642.0, 18.0], 5ympnehP1m, 5776312]
[paragraph, [145.0, 700.0, 642.0, 18.0], 5ympnehP1m, 5776312]
[paragraph, [159.0, 731.0, 623.0, 18.0], shoonya_13sUKNT3K1KVGB, 5776312]
[paragraph, [159.0, 749.0, 623.0, 18.0], shoonya_13sUKNT3K1KVGB, 5776312]
[paragraph, [161.0, 786.0, 624.0, 18.0], shoonya_4s884M0W01ZANH, 5776312]
[paragraph, [161.0, 804.0, 624.0, 18.0], shoonya_4s884M0W01ZANH, 5776312]
[paragraph, [163.0, 833.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 851.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 869.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 887.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 905.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 923.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 941.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [163.0, 959.0, 624.0, 18.0], shoonya_0s7XOC40XF7G4J, 5776312]
[paragraph, [162.0, 981.0, 625.0, 18.0], shoonya_1s036RAE3BZT9A, 5776312]
[paragraph, [162.0, 999.0, 625.0, 18.0], shoonya_1s036RAE3BZT9A, 5776312]
[paragraph, [162.0, 1017.0, 625.0, 18.0], shoonya_1s036RAE3BZT9A, 5776312]
[paragraph, [162.0, 1035.0, 625.0, 18.0], shoonya_1s036RAE3BZT9A, 5776312]
[paragraph, [162.0, 1053.0, 625.0, 18.0], shoonya_1s036RAE3BZT9A, 5776312]
