[1650, 1275]
[section-title, [294.0, 257.0, 639.0, 49.5], shoonya_8sK6B1BZE2YT2U, 5778641]
[author, [363.0, 343.0, 496.0, 36.0], shoonya_6sH4JT67ZVWIC4, 5778641]
[sidebar, [246.0, 409.0, 720.0, 36.0], shoonya_1sGSOPX2KCEUFF, 5778641]
[sidebar, [246.0, 445.0, 720.0, 36.0], shoonya_1sGSOPX2KCEUFF, 5778641]
[sidebar, [246.0, 481.0, 720.0, 36.0], shoonya_1sGSOPX2KCEUFF, 5778641]
[sidebar, [246.0, 517.0, 720.0, 36.0], shoonya_1sGSOPX2KCEUFF, 5778641]
[folio, [18.0, 597.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 633.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 669.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 705.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 741.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 777.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 813.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 849.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 885.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[folio, [18.0, 921.0, 81.0, 36.0], ySP7mj9cX7, 5778641]
[paragraph, [175.0, 682.0, 867.0, 36.0], shoonya_2sAK2HGAQNC2TL, 5778641]
[paragraph, [175.0, 718.0, 867.0, 36.0], shoonya_2sAK2HGAQNC2TL, 5778641]
[paragraph, [175.0, 754.0, 867.0, 36.0], shoonya_2sAK2HGAQNC2TL, 5778641]
[paragraph, [175.0, 790.0, 867.0, 36.0], shoonya_2sAK2HGAQNC2TL, 5778641]
[paragraph, [175.0, 826.0, 867.0, 36.0], shoonya_2sAK2HGAQNC2TL, 5778641]
[paragraph, [174.0, 886.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 922.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 958.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 994.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 1030.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 1066.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 1102.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [174.0, 1138.0, 869.0, 36.0], shoonya_0sR4QYS3WDB95S, 5778641]
[paragraph, [175.0, 1205.0, 867.0, 36.0], shoonya_3sXNNS8DSDLNSZ, 5778641]
[paragraph, [175.0, 1241.0, 867.0, 36.0], shoonya_3sXNNS8DSDLNSZ, 5778641]
[paragraph, [175.0, 1277.0, 867.0, 36.0], shoonya_3sXNNS8DSDLNSZ, 5778641]
[footnote, [175.0, 1340.0, 871.0, 36.0], shoonya_4sBD8PPMWLZ792, 5778641]
[footnote, [175.0, 1376.0, 871.0, 36.0], shoonya_4sBD8PPMWLZ792, 5778641]
