[595, 454]
[paragraph, [24.0, 25.0, 181.0, 18.0], PfEFcpyk8A, 6459774]
[paragraph, [24.0, 49.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 67.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 85.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 103.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 121.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 139.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 157.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 175.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 193.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 211.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 229.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 247.0, 198.0, 18.0], _DpuhrbWsZ, 6459774]
[paragraph, [24.0, 281.0, 198.0, 18.0], tpxSqWhcDK, 6459774]
[paragraph, [24.0, 299.0, 198.0, 18.0], tpxSqWhcDK, 6459774]
[paragraph, [24.0, 317.0, 198.0, 18.0], tpxSqWhcDK, 6459774]
[paragraph, [24.0, 335.0, 198.0, 18.0], tpxSqWhcDK, 6459774]
[paragraph, [24.0, 353.0, 198.0, 18.0], tpxSqWhcDK, 6459774]
[paragraph, [225.0, 288.0, 202.0, 18.0], TDBdzLYG8e, 6459774]
[paragraph, [225.0, 306.0, 202.0, 18.0], TDBdzLYG8e, 6459774]
[paragraph, [225.0, 324.0, 202.0, 18.0], TDBdzLYG8e, 6459774]
[paragraph, [225.0, 342.0, 202.0, 18.0], TDBdzLYG8e, 6459774]
[paragraph, [227.0, 372.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 390.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 408.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 426.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 444.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 462.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [227.0, 480.0, 196.0, 18.0], O3lQN2Tf7M, 6459774]
[paragraph, [26.0, 378.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 396.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 414.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 432.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 450.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 468.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 486.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 504.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [26.0, 522.0, 196.0, 18.0], J6GiQURcgv, 6459774]
[paragraph, [226.0, 517.0, 197.0, 18.0], OhIty7QVP2, 6459774]
