[576, 360]
[paragraph, [31.0, 65.0, 78.0, 18.0], vovG8yF8YG, 6516998]
[ordered-list, [26.0, 108.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 126.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 144.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 162.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 180.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 198.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 216.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 234.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 252.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 270.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 288.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 306.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 324.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 342.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[ordered-list, [26.0, 360.0, 306.0, 18.0], shoonya_0sJFCDH6ZHNXDP, 6516998]
[paragraph, [28.0, 410.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
[paragraph, [28.0, 428.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
[paragraph, [28.0, 446.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
[paragraph, [28.0, 464.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
[paragraph, [28.0, 482.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
[paragraph, [28.0, 500.0, 300.0, 18.0], 3n6tcZTnTv, 6516998]
